Date,Location,Northings,Westings,SampleID,CPM
20130820,BurhamBeeches,51.5565,0.6335,BB01,9.20E+04
20130820,BurhamBeeches,51.557,0.6335,BB02,3.40E+04
20130820,BurhamBeeches,51.5575,0.6334,BB03,1.20E+06
20130820,BurhamBeeches,51.5575,0.6333,BB04,4.60E+04
20130820,BurhamBeeches,51.5575,0.634,BB05,3.90E+04
20130820,BurhamBeeches,51.5574,0.6325,BB06,2.90E+04
20130820,BurhamBeeches,51.5581,0.6332,BB07,7.50E+04
20130820,BurhamBeeches,51.5589,0.6343,BB08,1.10E+05
20130820,BurhamBeeches,51.559,0.6344,BB09,4.20E+04
20130820,BurhamBeeches,51.5591,0.6347,BB10,8.50E+03
20130820,BurhamBeeches,51.5591,0.6348,BB11,5.20E+04
20130820,BurhamBeeches,51.559,0.6349,BB12,1.60E+04
20130820,BurhamBeeches,51.5595,0.6349,BB13,4.60E+05
20130820,BurhamBeeches,51.5594,0.635,BB14,4.40E+03
20130820,BurhamBeeches,51.5594,0.6345,BB15,3.40E+04
20130820,BurhamBeeches,51.5593,0.6345,BB16,1.30E+03
20130820,BurhamBeeches,51.5592,0.6344,BB17,7.20E+03
20130820,BurhamBeeches,51.5573,0.6325,BB18,1.30E+05
20130820,BurhamBeeches,51.5565,0.6352,BB19,5.10E+04
20130820,BurhamBeeches,51.5571,0.6353,BB20,3.20E+04
20130820,BurhamBeeches,51.5578,0.6359,BB21,2.20E+05
20130820,BurhamBeeches,51.5595,0.6372,BB22,2.40E+05
20130820,BurhamBeeches,51.5597,0.636,BB23,1.30E+05
20130820,BurhamBeeches,51.5597,0.6359,BB24,2.00E+04
20130820,BurhamBeeches,51.5604,0.6357,BB25,9.70E+03
20130820,BurhamBeeches,51.5604,0.6358,BB26,1.20E+04
20130829,BurhamBeeches,51.5509,0.6322,BB27,1.70E+05
20130829,BurhamBeeches,51.5509,0.6322,BB28,5.20E+05
20130829,BurhamBeeches,51.5509,0.6318,BB29,6.50E+05
20130829,BurhamBeeches,51.551,0.6314,BB30,9.60E+04
20130829,BurhamBeeches,51.5503,0.6335,BB31,8.40E+03
20130829,BurhamBeeches,51.5502,0.6336,BB32,1.10E+06
20130829,BurhamBeeches,51.551,0.6327,BB33,8.00E+03
20130829,BurhamBeeches,51.551,0.6327,BB34,2.60E+03
20130829,BurhamBeeches,51.551,0.6327,BB35,6.40E+05
20130829,BurhamBeeches,51.5515,0.6324,BB36,3.60E+03
20130829,BurhamBeeches,51.5575,0.6312,BB37,2.70E+04
20130829,BurhamBeeches,51.558,0.6311,BB38,4.40E+05
20130829,BurhamBeeches,51.558,0.6311,BB39,1.80E+05
20130829,BurhamBeeches,51.5579,0.6309,BB40,1.20E+04
20130829,BurhamBeeches,51.5579,0.6309,BB41,2.70E+03
20130829,BurhamBeeches,51.5579,0.6307,BB42,6.00E+05
20130829,BurhamBeeches,51.5583,0.6301,BB43,4.50E+03
20130829,BurhamBeeches,51.5581,0.63,BB44,3.10E+05
20130829,BurhamBeeches,51.5581,0.63,BB45,3.60E+03
20130829,BurhamBeeches,51.5581,0.63,BB46,4.70E+03
20130829,BurhamBeeches,51.5583,0.6302,BB47,4.00E+03
20130829,BurhamBeeches,51.5583,0.6301,BB48,8.10E+03
20130829,BurhamBeeches,51.5583,0.63,BB49,2.50E+03
20130829,BurhamBeeches,51.5584,0.6298,BB50,4.20E+05
20130829,BurhamBeeches,51.5584,0.6297,BB51,9.70E+03
20130829,BurhamBeeches,51.5585,0.6296,BB52,8.10E+04
20130829,BurhamBeeches,51.5585,0.6296,BB53,1.30E+05
20130829,BurhamBeeches,51.5589,0.63,BB54,4.70E+05
20130829,BurhamBeeches,51.559,0.6295,BB55,2.90E+03
20130829,BurhamBeeches,51.559,0.6295,BB56,4.20E+03
20130829,BurhamBeeches,51.559,0.6295,BB57,1.10E+06
20130829,BurhamBeeches,51.559,0.6295,BB58,3.10E+05
20130829,BurhamBeeches,51.559,0.6295,BB59,3.50E+06
20130829,BurhamBeeches,51.559,0.6296,BB60,6.30E+05
20130829,BurhamBeeches,51.559,0.6287,BB61,1.00E+04
20130829,BurhamBeeches,51.5591,0.6287,BB62,4.80E+05
20130829,BurhamBeeches,51.5583,0.6307,BB63,8.60E+05
20130829,BurhamBeeches,51.5586,0.6314,BB64,3.60E+03
20130829,BurhamBeeches,51.5599,0.6324,BB65,3.90E+03
20130829,BurhamBeeches,51.5596,0.6315,BB66,4.50E+04
20130829,BurhamBeeches,51.5599,0.6312,BB67,3.60E+03
20130829,BurhamBeeches,51.56,0.6312,BB68,1.60E+04
20130829,BurhamBeeches,51.5606,0.6322,BB69,4.00E+03
20130829,BurhamBeeches,51.61,0.6327,BB70,4.60E+03
20130829,BurhamBeeches,51.61,0.6327,BB71,8.20E+03
20130829,BurhamBeeches,51.5609,0.6336,BB72,2.80E+06
20130829,BurhamBeeches,51.5607,0.6339,BB73,2.50E+05
20130829,BurhamBeeches,51.5601,0.6334,BB74,5.00E+04
20130829,BurhamBeeches,51.5601,0.6332,BB75,5.30E+04
20130829,BurhamBeeches,51.5604,0.6343,BB76,1.90E+05
20130829,BurhamBeeches,51.5608,0.6343,BB77,1.40E+06
20130829,BurhamBeeches,51.5608,0.6343,BB78,6.30E+03
20130829,BurhamBeeches,51.5608,0.6347,BB79,1.20E+04
20130829,BurhamBeeches,51.5609,0.6347,BB80,1.10E+06
20130829,BurhamBeeches,51.5611,0.6348,BB81,6.70E+05
20130829,BurhamBeeches,51.5611,0.6348,BB82,2.60E+03
20130829,BurhamBeeches,51.5614,0.633,BB83,4.20E+03
20130829,BurhamBeeches,51.5612,0.6331,BB84,1.10E+06
20130829,BurhamBeeches,51.561,0.6335,BB85,4.20E+05
20130829,BurhamBeeches,51.5612,0.6398,BB86,2.60E+04
20130829,BurhamBeeches,51.5587,0.6383,BB87,1.10E+04
20130829,BurhamBeeches,51.5594,0.638,BB88,9.00E+04
20130829,BurhamBeeches,51.5569,0.6375,BB89,1.10E+06
20130829,BurhamBeeches,51.5568,0.6374,BB90,3.10E+04
20130829,BurhamBeeches,51.5568,0.6374,BB91,1.20E+06
20130829,BurhamBeeches,51.5567,0.6374,BB92,5.00E+02
20130829,BurhamBeeches,51.5566,0.6374,BB93,4.00E+02
20130829,BurhamBeeches,51.5564,0.6371,BB94,5.00E+02
20130829,BurhamBeeches,51.5564,0.6371,BB95,7.00E+02
20130829,BurhamBeeches,51.5564,0.6371,BB96,7.20E+05
20130829,BurhamBeeches,51.5564,0.637,BB97,7.80E+04
20130829,BurhamBeeches,51.5564,0.6368,BB98,1.00E+05
20130829,BurhamBeeches,51.5564,0.6366,BB99,8.50E+05
20130829,BurhamBeeches,51.5563,0.6367,BB100,7.40E+05
20130904,WindsorGreatPark,51.4098,0.6219,WGP01,1.30E+05
20130904,WindsorGreatPark,51.4098,0.6219,WGP02,3.30E+05
20130904,WindsorGreatPark,51.4098,0.6217,WGP03,3.30E+05
20130904,WindsorGreatPark,51.4098,0.6216,WGP04,3.00E+05
20130904,WindsorGreatPark,51.4098,0.6216,WGP05,3.20E+05
20130904,WindsorGreatPark,51.4099,0.6213,WGP06,1.70E+06
20130904,WindsorGreatPark,51.4102,0.6105,WGP07,2.20E+06
20130904,WindsorGreatPark,51.4093,0.6082,WGP08,3.20E+06
20130904,WindsorGreatPark,51.4099,0.6055,WGP09,1.30E+06
20130904,WindsorGreatPark,51.41,0.6056,WGP10,1.20E+04
20130904,WindsorGreatPark,51.41,0.6032,WGP11,8.00E+02
20130904,WindsorGreatPark,51.4087,0.6016,WGP12,8.00E+02
20130904,WindsorGreatPark,51.411,0.6192,WGP13,1.90E+03
20130911,SilwoodPark,51.4067,0.6387,SP01,6.30E+03
20130911,SilwoodPark,51.4082,0.6409,SP02,6.20E+04
20130911,SilwoodPark,51.082,0.6452,SP03,2.70E+05
20130911,SilwoodPark,51.4098,0.6464,SP04,3.40E+05
20130911,SilwoodPark,51.4099,0.6464,SP05,5.70E+05
20130911,SilwoodPark,51.412,0.6459,SP06,2.30E+05
20130911,SilwoodPark,51.412,0.6459,SP07,1.30E+06
