"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"052214DR16s","day0","day0_A09.BB41_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_A09.BB41_052214DR16s-Sam401-475-pr_filt.fastq.gz","BB41","BB","41","51.5579 N 0.6309 W","2013-08-29","does not belong to any of the three studies identified"
"052214DR16s","day0","day0_B05.WYC26_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_B05.WYC26_052214DR16s-Sam476-550_filt.fastq.gz","WYC26","WYC","26","51.7685 N 1.329 W","2013-10-22","does not belong to any of the three studies identified"
"052214DR16s","day0","day0_D06.AE92_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_D06.AE92_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE92","AE","92","51.79053 N 0.55789 W","2013-11-18","does not belong to any of the three studies identified"
"052214DR16s","day0","day0_E06.AE93_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_E06.AE93_052214DR16s-Sam776-850-pr_filt.fastq.gz","AE93","AE","93","51.79084 N 0.55764 W","2013-11-18","does not belong to any of the three studies identified"
"052214DR16s","day0","day0_G05.BB95_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_G05.BB95_052214DR16s-Sam776-850-pr_filt.fastq.gz","BB95","BB","95","51.5564 N 0.6371 W","2013-08-29","does not belong to any of the three studies identified"
"052214DR16s","day0","day0_H06.BB64_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_H06.BB64_052214DR16s-Sam626-700-pr_filt.fastq.gz","BB64","BB","64","51.5586 N 0.6314 W","2013-08-29","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A1.SKW1_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A1.SKW1_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKW1","SKW","1","51.4067 N 0.6387 W","2013-09-11","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A10.AA17_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A10.AA17_021216DR515FSAM1-96a-pr_filt.fastq.gz","AA17","AA","17","51.78599 N 0.55237 W","2013-10-30","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A11.AA25_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A11.AA25_021216DR515FSAM1-96a-pr_filt.fastq.gz","AA25","AA","25","51.78573 N 0.55218 W","2013-10-30","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A12.AA33_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A12.AA33_021216DR515FSAM1-96a-pr_filt.fastq.gz","AA33","AA","33","51.7852 N 0.55218 W","2013-10-30","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A2.SKB1_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A2.SKB1_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKB1","SKB","1","51.4067 N 0.6387 W","2013-09-11","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A3.SKB9_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A3.SKB9_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKB9","SKB","9","51.4124 N 0.6462 W","2013-09-11","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A4.SKB17_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A4.SKB17_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKB17","SKB","17","51.5592 N 0.6344 W","2013-08-20","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A5.SKP1_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A5.SKP1_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKP1","SKP","1","51.4067 N 0.6387 W","2013-09-11","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A6.SKP9_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A6.SKP9_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKP9","SKP","9","51.4124 N 0.6462 W","2013-09-11","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A7.SKP17_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A7.SKP17_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKP17","SKP","17","51.4082 N 0.6409 W","2014-04-24","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A8.AA1_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A8.AA1_021216DR515FSAM1-96a-pr_filt.fastq.gz","AA1","AA","1","51.7868 N 0.5538 W","2013-10-30","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_A9.AA9_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_A9.AA9_021216DR515FSAM1-96a-pr_filt.fastq.gz","AA9","AA","9","51.7864 N 0.55172 W","2013-10-30","does not belong to any of the three studies identified"
"021216DR515F","day7","day7_B1.SKW2_021216DR515FSAM1-96a-pr_filt.fastq.gz","3_filtered/day7_B1.SKW2_021216DR515FSAM1-96a-pr_filt.fastq.gz","SKW2","SKW","2","51.4082 N 0.6409 W","2013-09-11","does not belong to any of the three studies identified"
