"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"052214DR16s","day0","day0_A1.KF.E1_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_A1.KF.E1_052214DR16s-Sam851-925-pr_filt.fastq.gz","KF.E1","KF","1",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A2.LF.G2_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_A2.LF.G2_052214DR16s-Sam851-925-pr_filt.fastq.gz","LF.G2","LF","2",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A3.MF.E2_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_A3.MF.E2_052214DR16s-Sam851-925-pr_filt.fastq.gz","MF.E2","MF","2",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A4.NF.E4_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_A4.NF.E4_052214DR16s-Sam926-1000-pr_filt.fastq.gz","NF.E4","NF","4",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A5.QF.A5_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_A5.QF.A5_052214DR16s-Sam926-1000-pr_filt.fastq.gz","QF.A5","QF","5",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A6.PF.C8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_A6.PF.C8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","PF.C8","PF","8",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A7.RF.G1_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_A7.RF.G1_052214DR16s-Sam926-1000-pr_filt.fastq.gz","RF.G1","RF","1",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_A8.SF.A6_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_A8.SF.A6_052214DR16s-Sam926-1000-pr_filt.fastq.gz","SF.A6","SF","6",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B1.KF.F1_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B1.KF.F1_052214DR16s-Sam851-925-pr_filt.fastq.gz","KF.F1","KF","1",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B2.LF.H2_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B2.LF.H2_052214DR16s-Sam851-925-pr_filt.fastq.gz","LF.H2","LF","2",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B3.MF.F2_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_B3.MF.F2_052214DR16s-Sam851-925-pr_filt.fastq.gz","MF.F2","MF","2",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B4.NF.F4_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_B4.NF.F4_052214DR16s-Sam926-1000-pr_filt.fastq.gz","NF.F4","NF","4",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B5.QF.B5_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_B5.QF.B5_052214DR16s-Sam926-1000-pr_filt.fastq.gz","QF.B5","QF","5",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B6.PF.D8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_B6.PF.D8_052214DR16s-Sam926-1000-pr_filt.fastq.gz","PF.D8","PF","8",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B7.RF.H1_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_B7.RF.H1_052214DR16s-Sam926-1000-pr_filt.fastq.gz","RF.H1","RF","1",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_B8.SF.B6_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_B8.SF.B6_052214DR16s-Sam926-1000-pr_filt.fastq.gz","SF.B6","SF","6",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_C1.KF.C6_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_C1.KF.C6_052214DR16s-Sam851-925-pr_filt.fastq.gz","KF.C6","KF","6",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_C2.LF.C7_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_C2.LF.C7_052214DR16s-Sam851-925-pr_filt.fastq.gz","LF.C7","LF","7",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_C3.MF.C3_052214DR16s-Sam851-925-pr_filt.fastq.gz","3_filtered/day0_C3.MF.C3_052214DR16s-Sam851-925-pr_filt.fastq.gz","MF.C3","MF","3",NA,NA,"mombrikotb study"
"052214DR16s","day0","day0_C4.NF.C7_052214DR16s-Sam926-1000-pr_filt.fastq.gz","3_filtered/day0_C4.NF.C7_052214DR16s-Sam926-1000-pr_filt.fastq.gz","NF.C7","NF","7",NA,NA,"mombrikotb study"
