"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"052214DR16s","day0","day0_A01.AE49_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_A01.AE49_052214DR16s-Sam476-550_filt.fastq.gz","AE49","AE","49","51.78556 N 0.55099 W","2013-10-30","this study"
"052214DR16s","day0","day0_A01.BB01_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_A01.BB01_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB01","BB","1","51.5565 N 0.6335 W","2013-08-20","this study"
"052214DR16s","day0","day0_A01.HW09_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_A01.HW09_052214DR16s-Sam401-475-pr_filt.fastq.gz","HW09","HW","9","51.58514 N 0.77675 W","2013-10-29","this study"
"052214DR16s","day0","day0_A01.OWW09_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_A01.OWW09_052214DR16s-SAM81-160-pr_filt.fastq.gz","OWW09","OWW","9","51.4497 N 0.5968 W","2013-09-26","this study"
"052214DR16s","day0","day0_A01.WYM25_052214DR16s-Sam626-700-pr_filt.fastq.gz","3_filtered/day0_A01.WYM25_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM25","WYM","25","51.7685 N 1.3281 W","2013-10-22","this study"
"052214DR16s","day0","day0_A01.WYT01_052214DR16s-Sam241-320-pr_filt.fastq.gz","3_filtered/day0_A01.WYT01_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYT01","WYT","1","51.7702 N 1.3293 W","2013-10-16","this study"
"052214DR16s","day0","day0_A01.WYT33_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_A01.WYT33_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT33","WYT","33","51.769 N 1.3293 W","2013-10-22","this study"
"052214DR16s","day0","day0_A01.WYT95_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_A01.WYT95_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT95","WYT","95","51.7728 N 1.337 W","2013-10-25","this study"
"052214DR16s","day0","day0_A02.AE57_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_A02.AE57_052214DR16s-Sam476-550_filt.fastq.gz","AE57","AE","57","51.78474 N 0.55026 W","2013-10-30","this study"
"052214DR16s","day0","day0_A02.BB09_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_A02.BB09_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB09","BB","9","51.559 N 0.6344 W","2013-08-20","this study"
"052214DR16s","day0","day0_A02.BCW01_052214DR16s-Sam241-320-pr_filt.fastq.gz","3_filtered/day0_A02.BCW01_052214DR16s-Sam241-320-pr_filt.fastq.gz","BCW01","BCW","1","51.1394 N 3.7536 W","2014-04-21","this study"
"052214DR16s","day0","day0_A02.BCW17_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_A02.BCW17_052214DR16s-SAM81-160-pr_filt.fastq.gz","BCW17","BCW","17","50.9718 N 3.4543 W","2014-04-21","this study"
"052214DR16s","day0","day0_A02.WiW17_052214DR16s-Sam401-475-pr_filt.fastq.gz","3_filtered/day0_A02.WiW17_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW17","WiW","17","51.4414 N 0.5996 W","2013-09-18","this study"
"052214DR16s","day0","day0_A02.WYM33_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_A02.WYM33_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM33","WYM","33","51.7685 N 1.3281 W","2013-10-22","this study"
