"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"021216DR515F","day7","day7_A1.WiW01.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_A1.WiW01.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WiW01.4","WiW","1","51.4117 N 0.6208 W","2013-09-18","this study"
"021216DR515F","day7","day7_A1.WYM02.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_A1.WYM02.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","WYM02.4","WYM","2","51.7697 N 1.3294 W","2013-10-22","this study"
"021216DR515F","day7","day7_A1.WYT01.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_A1.WYT01.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WYT01.4","WYT","1","51.7702 N 1.3293 W","2013-10-16","this study"
"021216DR515F","day7","day7_A10.BB40.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_A10.BB40.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","BB40.4","BB","40","51.5579 N 0.6309 W","2013-08-29","this study"
"021216DR515F","day7","day7_A10.OWW09.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_A10.OWW09.4_021216DR515FSAM1-92-pr_filt.fastq.gz","OWW09.4","OWW","9","51.4497 N 0.5968 W","2013-09-26","this study"
"021216DR515F","day7","day7_A10.PH01.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_A10.PH01.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH01.4","PH","1","51.57306 N 0.81191 W","2013-12-07","this study"
"021216DR515F","day7","day7_A10.WP09.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_A10.WP09.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","WP09.4","WP","9","51.324101 N 0.615783 W","2013-11-28","this study"
"021216DR515F","day7","day7_A11.BB01.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_A11.BB01.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","BB01.4","BB","1","51.5565 N 0.6335 W","2013-08-20","this study"
"021216DR515F","day7","day7_A11.BWd01.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_A11.BWd01.4_021216DR515FSAM1-92-pr_filt.fastq.gz","BWd01.4","BWd","1","51.1936 N 1.0689 W","2013-10-03","this study"
"021216DR515F","day7","day7_A11.PH09.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_A11.PH09.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH09.4","PH","9","51.57212 N 0.81244 W","2013-12-07","this study"
"021216DR515F","day7","day7_A11.SAC01.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_A11.SAC01.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","SAC01.4","SAC","1","51.76454 N 0.3351 W","2013-12-03","this study"
"021216DR515F","day7","day7_A12.AE97.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","3_filtered/day7_A12.AE97.4_021216DR515FSAM1-96f-pr_filt.fastq.gz","AE97.4","AE","97","51.79389 N 0.56033 W","2013-11-18","this study"
"021216DR515F","day7","day7_A12.PH17.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","3_filtered/day7_A12.PH17.4_021216DR515FSAM1-88d-pr_filt.fastq.gz","PH17.4","PH","17","51.57016 N 0.81297 W","2013-12-07","this study"
"021216DR515F","day7","day7_A12.SAC09.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","3_filtered/day7_A12.SAC09.4_021216DR515FSAM1-89d-pr_filt.fastq.gz","SAC09.4","SAC","9","51.76949 N 0.34862 W","2013-12-03","this study"
"021216DR515F","day7","day7_A12.WF01.4_021216DR515FSAM1-92-pr_filt.fastq.gz","3_filtered/day7_A12.WF01.4_021216DR515FSAM1-92-pr_filt.fastq.gz","WF01.4","WF","1","51.4503 N 0.6338 W","2013-10-21","this study"
