sampleid,parent,replicate,replicate.partition,partition,Location,Time
AE01,AE01,0,0.1,1,AshridgeEstate,Starting
AE02,AE02,0,0.1,1,AshridgeEstate,Starting
AE03,AE03,0,0.1,1,AshridgeEstate,Starting
AE04,AE04,0,0.1,1,AshridgeEstate,Starting
AE06,AE06,0,0.1,1,AshridgeEstate,Starting
AE07,AE07,0,0.2,2,AshridgeEstate,Starting
AE08,AE08,0,0.1,1,AshridgeEstate,Starting
AE09,AE09,0,0.1,1,AshridgeEstate,Starting
AE10,AE10,0,0.3,3,AshridgeEstate,Starting
AE102,AE102,0,0.1,1,AshridgeEstate,Starting
AE104,AE104,0,0.3,3,AshridgeEstate,Starting
AE105,AE105,0,0.4,4,AshridgeEstate,Starting
AE106,AE106,0,0.4,4,AshridgeEstate,Starting
AE108,AE108,0,0.4,4,AshridgeEstate,Starting
AE109,AE109,0,0.3,3,AshridgeEstate,Starting
AE11,AE11,0,0.2,2,AshridgeEstate,Starting
AE111,AE111,0,0.1,1,AshridgeEstate,Starting
AE112,AE112,0,0.4,4,AshridgeEstate,Starting
AE113,AE113,0,0.4,4,AshridgeEstate,Starting
AE114,AE114,0,0.4,4,AshridgeEstate,Starting
AE115,AE115,0,0.4,4,AshridgeEstate,Starting
AE117,AE117,0,0.5,5,AshridgeEstate,Starting
AE118,AE118,0,0.5,5,AshridgeEstate,Starting
AE119,AE119,0,0.5,5,AshridgeEstate,Starting
AE120,AE120,0,0.5,5,AshridgeEstate,Starting
AE122,AE122,0,0.4,4,AshridgeEstate,Starting
AE123,AE123,0,0.5,5,AshridgeEstate,Starting
AE124,AE124,0,0.5,5,AshridgeEstate,Starting
AE125,AE125,0,0.4,4,AshridgeEstate,Starting
AE127,AE127,0,0.5,5,AshridgeEstate,Starting
AE128,AE128,0,0.5,5,AshridgeEstate,Starting
AE13,AE13,0,0.3,3,AshridgeEstate,Starting
AE130,AE130,0,0.5,5,AshridgeEstate,Starting
AE131,AE131,0,0.5,5,AshridgeEstate,Starting
AE133,AE133,0,0.5,5,AshridgeEstate,Starting
AE134,AE134,0,0.5,5,AshridgeEstate,Starting
AE135,AE135,0,0.5,5,AshridgeEstate,Starting
AE136,AE136,0,0.1,1,AshridgeEstate,Starting
AE137,AE137,0,0.5,5,AshridgeEstate,Starting
AE139,AE139,0,0.5,5,AshridgeEstate,Starting
AE14,AE14,0,0.1,1,AshridgeEstate,Starting
AE143,AE143,0,0.2,2,AshridgeEstate,Starting
AE144,AE144,0,0.5,5,AshridgeEstate,Starting
AE145,AE145,0,0.1,1,AshridgeEstate,Starting
AE146,AE146,0,0.5,5,AshridgeEstate,Starting
AE147,AE147,0,0.5,5,AshridgeEstate,Starting
AE149,AE149,0,0.2,2,AshridgeEstate,Starting
AE15,AE15,0,0.2,2,AshridgeEstate,Starting
AE150,AE150,0,0.4,4,AshridgeEstate,Starting
AE151,AE151,0,0.4,4,AshridgeEstate,Starting
AE152,AE152,0,0.2,2,AshridgeEstate,Starting
AE153,AE153,0,0.2,2,AshridgeEstate,Starting
AE154,AE154,0,0.5,5,AshridgeEstate,Starting
AE156,AE156,0,0.4,4,AshridgeEstate,Starting
AE157,AE157,0,0.5,5,AshridgeEstate,Starting
AE158,AE158,0,0.5,5,AshridgeEstate,Starting
AE159,AE159,0,0.5,5,AshridgeEstate,Starting
AE16,AE16,0,0.1,1,AshridgeEstate,Starting
AE160,AE160,0,0.4,4,AshridgeEstate,Starting
AE161,AE161,0,0.5,5,AshridgeEstate,Starting
AE162,AE162,0,0.5,5,AshridgeEstate,Starting
AE163,AE163,0,0.2,2,AshridgeEstate,Starting
AE164,AE164,0,0.5,5,AshridgeEstate,Starting
AE165,AE165,0,0.5,5,AshridgeEstate,Starting
AE166,AE166,0,0.5,5,AshridgeEstate,Starting
AE167,AE167,0,0.5,5,AshridgeEstate,Starting
AE168,AE168,0,0.5,5,AshridgeEstate,Starting
AE169,AE169,0,0.5,5,AshridgeEstate,Starting
AE17,AE17,0,0.1,1,AshridgeEstate,Starting
AE170,AE170,0,0.3,3,AshridgeEstate,Starting
AE171,AE171,0,0.1,1,AshridgeEstate,Starting
AE173,AE173,0,0.4,4,AshridgeEstate,Starting
AE174,AE174,0,0.5,5,AshridgeEstate,Starting
AE175,AE175,0,0.5,5,AshridgeEstate,Starting
AE176,AE176,0,0.5,5,AshridgeEstate,Starting
AE177,AE177,0,0.5,5,AshridgeEstate,Starting
AE178,AE178,0,0.3,3,AshridgeEstate,Starting
AE18,AE18,0,0.2,2,AshridgeEstate,Starting
AE19,AE19,0,0.4,4,AshridgeEstate,Starting
AE20,AE20,0,0.2,2,AshridgeEstate,Starting
AE21,AE21,0,0.5,5,AshridgeEstate,Starting
AE24,AE24,0,0.1,1,AshridgeEstate,Starting
AE25,AE25,0,0.1,1,AshridgeEstate,Starting
AE28,AE28,0,0.2,2,AshridgeEstate,Starting
AE29,AE29,0,0.1,1,AshridgeEstate,Starting
AE30,AE30,0,0.1,1,AshridgeEstate,Starting
AE31,AE31,0,0.3,3,AshridgeEstate,Starting
AE32,AE32,0,0.1,1,AshridgeEstate,Starting
AE33,AE33,0,0.2,2,AshridgeEstate,Starting
AE34,AE34,0,0.1,1,AshridgeEstate,Starting
AE35,AE35,0,0.1,1,AshridgeEstate,Starting
AE36,AE36,0,0.2,2,AshridgeEstate,Starting
AE37,AE37,0,0.1,1,AshridgeEstate,Starting
AE38,AE38,0,0.1,1,AshridgeEstate,Starting
AE39,AE39,0,0.2,2,AshridgeEstate,Starting
AE40,AE40,0,0.1,1,AshridgeEstate,Starting
AE41,AE41,0,0.1,1,AshridgeEstate,Starting
AE42,AE42,0,0.1,1,AshridgeEstate,Starting
AE43,AE43,0,0.1,1,AshridgeEstate,Starting
AE44,AE44,0,0.1,1,AshridgeEstate,Starting
AE45,AE45,0,0.1,1,AshridgeEstate,Starting
AE46,AE46,0,0.3,3,AshridgeEstate,Starting
AE47,AE47,0,0.1,1,AshridgeEstate,Starting
AE48,AE48,0,0.1,1,AshridgeEstate,Starting
AE49,AE49,0,0.1,1,AshridgeEstate,Starting
AE51,AE51,0,0.1,1,AshridgeEstate,Starting
AE53,AE53,0,0.1,1,AshridgeEstate,Starting
AE54,AE54,0,0.1,1,AshridgeEstate,Starting
AE55,AE55,0,0.1,1,AshridgeEstate,Starting
AE56,AE56,0,0.1,1,AshridgeEstate,Starting
AE57,AE57,0,0.2,2,AshridgeEstate,Starting
AE58,AE58,0,0.2,2,AshridgeEstate,Starting
AE59,AE59,0,0.1,1,AshridgeEstate,Starting
AE60,AE60,0,0.1,1,AshridgeEstate,Starting
AE61,AE61,0,0.1,1,AshridgeEstate,Starting
AE62,AE62,0,0.4,4,AshridgeEstate,Starting
AE63,AE63,0,0.1,1,AshridgeEstate,Starting
AE64,AE64,0,0.1,1,AshridgeEstate,Starting
AE65,AE65,0,0.1,1,AshridgeEstate,Starting
AE66,AE66,0,0.1,1,AshridgeEstate,Starting
AE67,AE67,0,0.1,1,AshridgeEstate,Starting
AE68,AE68,0,0.2,2,AshridgeEstate,Starting
AE69,AE69,0,0.1,1,AshridgeEstate,Starting
AE70,AE70,0,0.1,1,AshridgeEstate,Starting
AE71,AE71,0,0.1,1,AshridgeEstate,Starting
AE72,AE72,0,0.3,3,AshridgeEstate,Starting
AE73,AE73,0,0.1,1,AshridgeEstate,Starting
AE74,AE74,0,0.1,1,AshridgeEstate,Starting
AE76,AE76,0,0.3,3,AshridgeEstate,Starting
AE77,AE77,0,0.1,1,AshridgeEstate,Starting
AE78,AE78,0,0.1,1,AshridgeEstate,Starting
AE79,AE79,0,0.1,1,AshridgeEstate,Starting
AE80,AE80,0,0.3,3,AshridgeEstate,Starting
AE81,AE81,0,0.1,1,AshridgeEstate,Starting
AE82,AE82,0,0.3,3,AshridgeEstate,Starting
AE83,AE83,0,0.1,1,AshridgeEstate,Starting
AE84,AE84,0,0.5,5,AshridgeEstate,Starting
AE85,AE85,0,0.3,3,AshridgeEstate,Starting
AE86,AE86,0,0.5,5,AshridgeEstate,Starting
AE87,AE87,0,0.3,3,AshridgeEstate,Starting
AE88,AE88,0,0.1,1,AshridgeEstate,Starting
AE89,AE89,0,0.3,3,AshridgeEstate,Starting
AE90,AE90,0,0.3,3,AshridgeEstate,Starting
AE91,AE91,0,0.5,5,AshridgeEstate,Starting
AE94,AE94,0,0.5,5,AshridgeEstate,Starting
AE96,AE96,0,0.3,3,AshridgeEstate,Starting
AE99,AE99,0,0.1,1,AshridgeEstate,Starting
BB02,BB02,0,0.4,4,BurhamBeeches,Starting
BB02.1,BB02,1,1.1,1,BurhamBeeches,Final
BB02.2,BB02,2,2.1,1,BurhamBeeches,Final
BB02.3,BB02,3,3.1,1,BurhamBeeches,Final
