sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment
A1.Riz1.AE103.1.Com	Riz1Rep1Com1	1	Rhizobium.1	1	no	AE103	AshridgeEstate	4M
A2.Riz1.BB22.1.Com	Riz1Rep1Com2	2	Rhizobium.1	1	no	BB22	BurhamBeeches	4M
A3.Riz1.SP02.1.Com	Riz1Rep1Com3	3	Rhizobium.1	1	no	SP02	SilwoodPark	4M
A4.Riz1.SP03.1.Com	Riz1Rep1Com4	4	Rhizobium.1	1	no	SP03	SilwoodPark	4M
A5.Riz1.SP04.1.Com	Riz1Rep1Com5	5	Rhizobium.1	1	no	SP04	SilwoodPark	4M
A6.Riz1.WYC41.1.Com	Riz1Rep1Com6	6	Rhizobium.1	1	no	WYC41	WythamWoods	4M
A7.Riz1.WYC42.1.Com	Riz1Rep1Com7	7	Rhizobium.1	1	no	WYC42	WythamWoods	4M
A8.Riz1.WYM25.1.Com	Riz1Rep1Com8	8	Rhizobium.1	1	no	WYM25	WythamWoods	4M
B1.Riz1.AE103.2.Com	Riz1Rep2Com1	1	Rhizobium.1	2	no	AE103	AshridgeEstate	4M
B2.Riz1.BB22.2.Com	Riz1Rep2Com2	2	Rhizobium.1	2	no	BB22	BurhamBeeches	4M
B3.Riz1.SP02.2.Com	Riz1Rep2Com3	3	Rhizobium.1	2	no	SP02	SilwoodPark	4M
B4.Riz1.SP03.2.Com	Riz1Rep2Com4	4	Rhizobium.1	2	no	SP03	SilwoodPark	4M
B5.Riz1.SP04.2.Com	Riz1Rep2Com5	5	Rhizobium.1	2	no	SP04	SilwoodPark	4M
B6.Riz1.WYC41.2.Com	Riz1Rep2Com6	6	Rhizobium.1	2	no	WYC41	WythamWoods	4M
B7.Riz1.WYC42.2.Com	Riz1Rep2Com7	7	Rhizobium.1	2	no	WYC42	WythamWoods	4M
B8.Riz1.WYM25.2.Com	Riz1Rep2Com8	8	Rhizobium.1	2	no	WYM25	WythamWoods	4M
C1.Nov2.AE103.1.Com	Novo2Rep1Com1	1	Novosphingobium.2 	1	no	AE103	AshridgeEstate	4M
C2.Nov2.BB22.1.Com	Novo2Rep1Com2	2	Novosphingobium.2 	1	no	BB22	BurhamBeeches	4M
C3.Nov2.SP02.1.Com	Novo2Rep1Com3	3	Novosphingobium.2	1	no	SP02	SilwoodPark	4M
C4.Nov2.SP03.1.Com	Novo2Rep1Com4	4	Novosphingobium.2	1	no	SP03	SilwoodPark	4M
C5.Nov2.SP04.1.Com	Novo2Rep1Com5	5	Novosphingobium.2	1	no	SP04	SilwoodPark	4M
C6.Nov2.WYC41.1.Com	Novo2Rep1Com6	6	Novosphingobium.2	1	no	WYC41	WythamWoods	4M
C7.Nov2.WYC42.1.Com	Novo2Rep1Com7	7	Novosphingobium.2	1	no	WYC42	WythamWoods	4M
C8.Nov2.WYM25.1.Com	Novo2Rep1Com8	8	Novosphingobium.2	1	no	WYM25	WythamWoods	4M
D1.Nov2.AE103.2.Com	Novo2Rep2Com1	1	Novosphingobium.2	2	no	AE103	AshridgeEstate	4M
D2.Nov2.BB22.2.Com	Novo2Rep2Com2	2	Novosphingobium.2	2	no	BB22	BurhamBeeches	4M
D3.Nov2.SP02.2.Com	Novo2Rep2Com3	3	Novosphingobium.2	2	no	SP02	SilwoodPark	4M
D4.Nov2.SP03.2.Com	Novo2Rep2Com4	4	Novosphingobium.2	2	no	SP03	SilwoodPark	4M
D5.Nov2.SP04.2.Com	Novo2Rep2Com5	5	Novosphingobium.2	2	no	SP04	SilwoodPark	4M
D6.Nov2.WYC41.2.Com	Novo2Rep2Com6	6	Novosphingobium.2	2	no	WYC41	WythamWoods	4M
D7.Nov2.WYC42.2.Com	Novo2Rep2Com7	7	Novosphingobium.2	2	no	WYC42	WythamWoods	4M
D8.Nov2.WYM25.2.Com	Novo2Rep2Com8	8	Novosphingobium.2	2	no	WYM25	WythamWoods	4M
E1.IsoMix.AE103.1.Com	StrainMix1Rep1Com1	1	StrainMix	1	no	AE103	AshridgeEstate	4M
E2.IsoMix.BB22.1.Com	StrainMix1Rep1Com2	2	StrainMix	1	no	BB22	BurhamBeeches	4M
E3.IsoMix.SP02.1.Com	StrainMix1Rep1Com3	3	StrainMix	1	no	SP02	SilwoodPark	4M
E4.IsoMix.SP03.1.Com	StrainMix1Rep1Com4	4	StrainMix	1	no	SP03	SilwoodPark	4M
E5.IsoMix.SP04.1.Com	StrainMix1Rep1Com5	5	StrainMix	1	no	SP04	SilwoodPark	4M
E6.IsoMix.WYC41.1.Com	StrainMix1Rep1Com6	6	StrainMix	1	no	WYC41	WythamWoods	4M
E7.IsoMix.WYC42.1.Com	StrainMix1Rep1Com7	7	StrainMix	1	no	WYC42	WythamWoods	4M
E8.IsoMix.WYM25.1.Com	StrainMix1Rep1Com8	8	StrainMix	1	no	WYM25	WythamWoods	4M
F1.IsoMix.AE103.2.Com	StrainMixRep2Com1	1	StrainMix	2	no	AE103	AshridgeEstate	4M
F2.IsoMix.BB22.2.Com	StrainMixRep2Com2	2	StrainMix	2	no	BB22	BurhamBeeches	4M
F3.IsoMix.SP02.2.Com	StrainMixRep2Com3	3	StrainMix	2	no	SP02	SilwoodPark	4M
F4.IsoMix.SP03.2.Com	StrainMixRep2Com4	4	StrainMix	2	no	SP03	SilwoodPark	4M
F5.IsoMix.SP04.2.Com	StrainMixRep2Com5	5	StrainMix	2	no	SP04	SilwoodPark	4M
F6.IsoMix.WYC41.2.Com	StrainMixRep2Com6	6	StrainMix	2	no	WYC41	WythamWoods	4M
F7.IsoMix.WYC42.2.Com	StrainMixRep2Com7	7	StrainMix	2	no	WYC42	WythamWoods	4M
F8.IsoMix.WYM25.2.Com	StrainMixRep2Com8	8	StrainMix	2	no	WYM25	WythamWoods	4M
G1.CTRL.AE103.1.Com	CTRLRep1Com1	1	CTRL	1	no	AE103	AshridgeEstate	4M
G2.CTRL.BB22.1.Com	CTRLRep1Com2	2	CTRL	1	no	BB22	BurhamBeeches	4M
G3.CTRL.SP02.1.Com	CTRLRep1Com3	3	CTRL	1	no	SP02	SilwoodPark	4M
G4.CTRL.SP03.1.Com	CTRLRep1Com4	4	CTRL	1	no	SP03	SilwoodPark	4M
G5.CTRL.SP04.1.Com	CTRLRep1Com5	5	CTRL	1	no	SP04	SilwoodPark	4M
G6.CTRL.WYC41.1.Com	CTRLRep1Com6	6	CTRL	1	no	WYC41	WythamWoods	4M
