"","filename","community","day","rep","seq.run","well"
"1","day0_A01.AE49_052214DR16s-Sam476-550_filt.fastq.gz","AE49",0,NA,"052214DR16s","A01"
"2","day0_A01.BB01_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB01",0,NA,"052214DR16s","A01"
"3","day0_A01.BB27c_052214DR16s-Sam161-240-pr_filt.fastq.gz","BB27c",0,NA,"052214DR16s","A01"
"4","day0_A01.HW09_052214DR16s-Sam401-475-pr_filt.fastq.gz","HW09",0,NA,"052214DR16s","A01"
"5","day0_A01.OWW09_052214DR16s-SAM81-160-pr_filt.fastq.gz","OWW09",0,NA,"052214DR16s","A01"
"6","day0_A01.WYM25_052214DR16s-Sam626-700-pr_filt.fastq.gz","WYM25",0,NA,"052214DR16s","A01"
"7","day0_A01.WYT01_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYT01",0,NA,"052214DR16s","A01"
"8","day0_A01.WYT33_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT33",0,NA,"052214DR16s","A01"
"9","day0_A01.WYT95_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT95",0,NA,"052214DR16s","A01"
"10","day0_A02.AE57_052214DR16s-Sam476-550_filt.fastq.gz","AE57",0,NA,"052214DR16s","A02"
"11","day0_A02.BB09_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB09",0,NA,"052214DR16s","A02"
"12","day0_A02.BB42c_052214DR16s-Sam161-240-pr_filt.fastq.gz","BB42c",0,NA,"052214DR16s","A02"
"13","day0_A02.BCW01_052214DR16s-Sam241-320-pr_filt.fastq.gz","BCW01",0,NA,"052214DR16s","A02"
"14","day0_A02.BCW17_052214DR16s-SAM81-160-pr_filt.fastq.gz","BCW17",0,NA,"052214DR16s","A02"
"15","day0_A02.WiW17_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW17",0,NA,"052214DR16s","A02"
"16","day0_A02.WYM33_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM33",0,NA,"052214DR16s","A02"
"17","day0_A02.WYT103_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT103",0,NA,"052214DR16s","A02"
"18","day0_A02.WYT41_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT41",0,NA,"052214DR16s","A02"
"19","day0_A03.BB66c_052214DR16s-Sam161-240-pr_filt.fastq.gz","BB66c",0,NA,"052214DR16s","A03"
"20","day0_A03.BW01_052214DR16s-Sam241-320-pr_filt.fastq.gz","BW01",0,NA,"052214DR16s","A03"
