"","community","day","rep","seq.run","well"
"1","AE49",0,NA,"052214DR16s","A01"
"2","BB01",0,NA,"052214DR16s","A01"
"3","BB27c",0,NA,"052214DR16s","A01"
"4","HW09",0,NA,"052214DR16s","A01"
"5","OWW09",0,NA,"052214DR16s","A01"
"6","WYM25",0,NA,"052214DR16s","A01"
"7","WYT01",0,NA,"052214DR16s","A01"
"8","WYT33",0,NA,"052214DR16s","A01"
"9","WYT95",0,NA,"052214DR16s","A01"
"10","AE57",0,NA,"052214DR16s","A02"
"11","BB09",0,NA,"052214DR16s","A02"
"12","BB42c",0,NA,"052214DR16s","A02"
"13","BCW01",0,NA,"052214DR16s","A02"
"14","BCW17",0,NA,"052214DR16s","A02"
"15","WiW17",0,NA,"052214DR16s","A02"
"16","WYM33",0,NA,"052214DR16s","A02"
"17","WYT103",0,NA,"052214DR16s","A02"
"18","WYT41",0,NA,"052214DR16s","A02"
"19","BB66c",0,NA,"052214DR16s","A03"
"20","BW01",0,NA,"052214DR16s","A03"
"21","SAC09",0,NA,"052214DR16s","A03"
"22","WGP17",0,NA,"052214DR16s","A03"
"23","WiW25",0,NA,"052214DR16s","A03"
"24","WYM41",0,NA,"052214DR16s","A03"
"25","WYT09",0,NA,"052214DR16s","A03"
"26","WYT111",0,NA,"052214DR16s","A03"
"27","WYT49",0,NA,"052214DR16s","A03"
"28","BB65",0,NA,"052214DR16s","A04"
"29","BW09",0,NA,"052214DR16s","A04"
"30","PH17",0,NA,"052214DR16s","A04"
"31","SAC01",0,NA,"052214DR16s","A04"
"32","SP05c",0,NA,"052214DR16s","A04"
"33","WiW33",0,NA,"052214DR16s","A04"
"34","WYC09",0,NA,"052214DR16s","A04"
"35","WYD09",0,NA,"052214DR16s","A04"
"36","WYT67",0,NA,"052214DR16s","A04"
"37","AE01",0,NA,"052214DR16s","A05"
"38","BB49",0,NA,"052214DR16s","A05"
"39","BB73",0,NA,"052214DR16s","A05"
"40","BB89",0,NA,"052214DR16s","A05"
"41","BCW09",0,NA,"052214DR16s","A05"
"42","SP10",0,NA,"052214DR16s","A05"
"43","WYC17",0,NA,"052214DR16s","A05"
"44","WYC25",0,NA,"052214DR16s","A05"
"45","WYC41c",0,NA,"052214DR16s","A05"
"46","AE89",0,NA,"052214DR16s","A06"
"47","BB17",0,NA,"052214DR16s","A06"
"48","BB57",0,NA,"052214DR16s","A06"
"49","BB81",0,NA,"052214DR16s","A06"
"50","WGP01",0,NA,"052214DR16s","A06"
"51","WGP09",0,NA,"052214DR16s","A06"
"52","WYC33",0,NA,"052214DR16s","A06"
"53","WYC41",0,NA,"052214DR16s","A06"
"54","WYM33c",0,NA,"052214DR16s","A06"
"55","AE101",0,NA,"052214DR16s","A07"
"56","AE65",0,NA,"052214DR16s","A07"
