"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_A01.AE49_052214DR16s-Sam476-550_filt","day0_A01.AE49","AE49","AE","49","51.78556 N 0.55099 W",2013-10-30
"day0_A01.BB01_052214DR16s-Sam1-80-pr_filt","day0_A01.BB01","BB01","BB","1","51.5565 N 0.6335 W",2013-08-20
"day0_A01.HW09_052214DR16s-Sam401-475-pr_filt","day0_A01.HW09","HW09","HW","9","51.58514 N 0.77675 W",2013-10-29
"day0_A01.OWW09_052214DR16s-SAM81-160-pr_filt","day0_A01.OWW09","OWW09","OWW","9","51.4497 N 0.5968 W",2013-09-26
"day0_A01.WYM25_052214DR16s-Sam626-700-pr_filt","day0_A01.WYM25","WYM25","WYM","25","51.7685 N 1.3281 W",2013-10-22
"day0_A01.WYT01_052214DR16s-Sam241-320-pr_filt","day0_A01.WYT01","WYT01","WYT","1","51.7702 N 1.3293 W",2013-10-16
"day0_A01.WYT33_052214DR16s-Sam551-625-pr_filt","day0_A01.WYT33","WYT33","WYT","33","51.769 N 1.3293 W",2013-10-22
"day0_A01.WYT95_052214DR16s-Sam776-850-pr_filt","day0_A01.WYT95","WYT95","WYT","95","51.7728 N 1.337 W",2013-10-25
"day0_A02.AE57_052214DR16s-Sam476-550_filt","day0_A02.AE57","AE57","AE","57","51.78474 N 0.55026 W",2013-10-30
"day0_A02.BB09_052214DR16s-Sam1-80-pr_filt","day0_A02.BB09","BB09","BB","9","51.559 N 0.6344 W",2013-08-20
"day0_A02.BCW01_052214DR16s-Sam241-320-pr_filt","day0_A02.BCW01","BCW01","BCW","1","51.1394 N 3.7536 W",2014-04-21
"day0_A02.BCW17_052214DR16s-SAM81-160-pr_filt","day0_A02.BCW17","BCW17","BCW","17","50.9718 N 3.4543 W",2014-04-21
"day0_A02.WiW17_052214DR16s-Sam401-475-pr_filt","day0_A02.WiW17","WiW17","WiW","17","51.4414 N 0.5996 W",2013-09-18
"day0_A02.WYM33_052214DR16s-Sam701-775-pr_filt","day0_A02.WYM33","WYM33","WYM","33","51.7685 N 1.3281 W",2013-10-22
"day0_A02.WYT103_052214DR16s-Sam776-850-pr_filt","day0_A02.WYT103","WYT103","WYT","103","51.7728 N 1.337 W",2013-10-25
"day0_A02.WYT41_052214DR16s-Sam551-625-pr_filt","day0_A02.WYT41","WYT41","WYT","41","51.7687 N 1.3291 W",2013-10-22
"day0_A03.BW01_052214DR16s-Sam241-320-pr_filt","day0_A03.BW01","BW01","BW","1","51.54858 N 0.77309 W",2013-10-29
"day0_A03.SAC09_052214DR16s-Sam1-80-pr_filt","day0_A03.SAC09","SAC09","SAC","9","51.76949 N 0.34862 W",2013-12-03
"day0_A03.WGP17_052214DR16s-Sam476-550_filt","day0_A03.WGP17","WGP17","WGP","17","51.437 N 0.6131 W",2013-09-26
"day0_A03.WiW25_052214DR16s-Sam401-475-pr_filt","day0_A03.WiW25","WiW25","WiW","25","51.4416 N 0.6004 W",2013-09-18
"day0_A03.WYM41_052214DR16s-Sam701-775-pr_filt","day0_A03.WYM41","WYM41","WYM","41","51.7686 N 1.3356 W",2013-10-22
"day0_A03.WYT09_052214DR16s-SAM81-160-pr_filt","day0_A03.WYT09","WYT09","WYT","9","51.7693 N 1.3293 W",2013-10-16
"day0_A03.WYT111_052214DR16s-Sam776-850-pr_filt","day0_A03.WYT111","WYT111","WYT","111","51.7717 N 1.3376 W",2013-10-25
"day0_A03.WYT49_052214DR16s-Sam551-625-pr_filt","day0_A03.WYT49","WYT49","WYT","49","51.7648 N 1.3278 W",2013-10-22
"day0_A04.BB65_052214DR16s-Sam701-775-pr_filt","day0_A04.BB65","BB65","BB","65","51.5599 N 0.6324 W",2013-08-29
"day0_A04.BW09_052214DR16s-Sam476-550_filt","day0_A04.BW09","BW09","BW","9","51.54783 N 0.77311 W",2013-10-29
"day0_A04.PH17_052214DR16s-Sam551-625-pr_filt","day0_A04.PH17","PH17","PH","17","51.57016 N 0.81297 W",2013-12-07
"day0_A04.SAC01_052214DR16s-Sam321-400-pr_filt","day0_A04.SAC01","SAC01","SAC","1","51.76454 N 0.3351 W",2013-12-03
"day0_A04.WiW33_052214DR16s-Sam401-475-pr_filt","day0_A04.WiW33","WiW33","WiW","33","51.4418 N 0.6018 W",2013-09-18
"day0_A04.WYC09_052214DR16s-SAM81-160-pr_filt","day0_A04.WYC09","WYC09","WYC","9","51.7693 N 1.3292 W",2013-10-22
