7D_rep1...AshridgeEstate	7D_rep2...AshridgeEstate	7D_rep3...AshridgeEstate	7D_rep4...AshridgeEstate	7D_rep1...BurhamBeeches	7D_rep2...BurhamBeeches	7D_rep3...BurhamBeeches	7D_rep4...BurhamBeeches	7D_rep1...BeechWood	7D_rep2...BeechWood	7D_rep3...BeechWood	7D_rep4...BeechWood	7D_rep1...KnightshayesCourt	7D_rep2...KnightshayesCourt	7D_rep3...KnightshayesCourt	7D_rep4...KnightshayesCourt	7D_rep1...LongWood	7D_rep2...LongWood	7D_rep3...LongWood	7D_rep4...LongWood	7D_rep1...OldWindsorWood	7D_rep2...OldWindsorWood	7D_rep3...OldWindsorWood	7D_rep4...OldWindsorWood	7D_rep1...PullingshillWood	7D_rep2...PullingshillWood	7D_rep3...PullingshillWood	7D_rep4...PullingshillWood	7D_rep1...SilwoodPark	7D_rep2...SilwoodPark	7D_rep3...SilwoodPark	7D_rep4...SilwoodPark	7D_rep1...StAlbansCity	7D_rep2...StAlbansCity	7D_rep3...StAlbansCity	7D_rep4...StAlbansCity	7D_rep1...CombeHill	7D_rep2...CombeHill	7D_rep3...CombeHill	7D_rep4...CombeHill	7D_rep1...WindsorForest	7D_rep2...WindsorForest	7D_rep3...WindsorForest	7D_rep4...WindsorForest	7D_rep1...GreenbroomCovert	7D_rep2...GreenbroomCovert	7D_rep3...GreenbroomCovert	7D_rep4...GreenbroomCovert	7D_rep1...WindsorGreatPark	7D_rep2...WindsorGreatPark	7D_rep3...WindsorGreatPark	7D_rep4...WindsorGreatPark	7D_rep1...WaterersPark	7D_rep2...WaterersPark	7D_rep3...WaterersPark	7D_rep4...WaterersPark	7D_rep1...WythamWoods	7D_rep2...WythamWoods	7D_rep3...WythamWoods	7D_rep4...WythamWoods	0D...AshridgeEstate	0D...BurhamBeeches	0D...BirchcleaveWood	0D...AshCopse	0D...BishamWoods	0D...BeechWood	0D...HuntsWoods	0D...LongWood	0D...OldWindsorWood	0D...PullingshillWood	0D...SilwoodPark	0D...StAlbansCity	0D...Sunningdale	0D...CombeHill	0D...WindsorForest	0D...WindsorGreatPark	0D...GreenbroomCovert	0D...WaterersPark	0D...WythamWoods
7D_rep1...AshridgeEstate	0.641828783593462	0.651295161862939	0.664147694892912	0.665660239379162	0.742632893300318	0.734969607981536	0.741673324845316	0.740054961260433	0.69619265739429	0.669254508317706	0.672034743067784	0.652762131597025	0.732426724798842	0.70689808595293	0.71213988191763	0.701442381743577	0.698838312852396	0.693508406934972	0.698260347545003	0.700805805686484	0.705466845420869	0.676340813858052	0.674659856123902	0.662189075111717	0.784818466417314	0.782532627226	0.784007434992656	0.785642624924776	0.716402494856585	0.693353194524597	0.694091529648232	0.706136811883767	0.775188801076289	0.775573182255136	0.762408080616385	0.732330341893213	0.789623776385746	0.775877726883983	0.791497190745343	0.788813809468623	0.671805918892712	0.657935837736667	0.649708505125076	0.702098624345076	0.697506630448355	0.690386280112665	0.689831963800153	0.706460445427782	0.705068132447337	0.69954937177829	0.705749102274086	0.652660352123153	0.701104263391837	0.70718599244183	0.695959183765963	0.671169932889811	0.670851884175401	0.670617272210132	0.65117695129396	0.670928675860444	0.728543237888144	0.791845662368466	0.772476587876576	0.771094648161718	0.694508057105801	0.718726562547932	0.700968743159454	0.70665291896381	0.738407214661061	0.776909776446734	0.746187268624227	0.785669348413981	0.77547771953409	0.787614030186694	0.682054961942369	0.781337370325235	0.726020980295549	0.745175040952937	0.716308140027249
7D_rep2...AshridgeEstate	0.651295161862939	0.572337461819127	0.620641016375791	0.62479286151073	0.722351586599535	0.711244957856974	0.720831104855776	0.718138632112217	0.665666022266528	0.627652740545443	0.632097904377368	0.609957754668287	0.71455697814139	0.677319152447344	0.684313171197572	0.671559717052179	0.66516446879059	0.656768799051224	0.663891631171718	0.66737574655298	0.673703315835403	0.638691967401793	0.634075853385117	0.625391790094026	0.776646336708537	0.775970090463721	0.777992543081184	0.781034681499074	0.690944782819124	0.659319053438905	0.660501670231698	0.676670127868196	0.770261014707973	0.771707753241259	0.75427844828334	0.715421937434321	0.785854985991909	0.7695811397483	0.787861888269268	0.785772389008675	0.632657790935821	0.615551353880395	0.602701020961988	0.673792445204067	0.66584764752744	0.657355095028831	0.656850498793121	0.680756547510522	0.673882517734825	0.667642028270915	0.679153291439282	0.61196380416652	0.673641651638505	0.681298246411152	0.666963735051041	0.630455803269539	0.633026455127464	0.629730232260195	0.604059789982333	0.629452956539346	0.705648448032954	0.782611448100965	0.753406311735656	0.754988952765007	0.659087957189704	0.690935890783312	0.668755331552241	0.672951673911113	0.714794231732327	0.761306579858573	0.72547307659492	0.775459984734644	0.76270059747368	0.778940571948619	0.64207214635597	0.767933113507736	0.70021959809955	0.721473681081951	0.688944860755998
7D_rep3...AshridgeEstate	0.664147694892912	0.620641016375791	0.581478907172515	0.64377823724615	0.727873856439961	0.716062720401541	0.720648863051469	0.723393553977032	0.678991087271831	0.647967776544763	0.646637538529207	0.631353283054498	0.722935052035297	0.688608448127108	0.690299953161595	0.685682503786761	0.678850137381529	0.670241757003454	0.675899249697968	0.679870918550634	0.684095449819377	0.659853002508864	0.646775975070457	0.644791032138409	0.776412777252179	0.776676134917885	0.776161515165464	0.781724331082695	0.701320141554617	0.671684416638925	0.66692560089729	0.689436430882474	0.769784833510923	0.765770130433959	0.746521910432577	0.723674539490146	0.786106410473205	0.772592461188022	0.788095142802103	0.7877272065897	0.653926789342686	0.636691873675122	0.622295620940153	0.686485341765354	0.676937062210088	0.669199371642898	0.667532312328823	0.688559839138825	0.683253982479897	0.685642487464566	0.698834467813343	0.630573624130731	0.685686878438215	0.692500213534702	0.677838703425233	0.644789518525191	0.651908690784524	0.647672270293387	0.621555438954511	0.648858716859308	0.699923873432417	0.782636419749075	0.758481374338016	0.754119071703991	0.666934453792134	0.695162261924835	0.676013509766114	0.67631657342234	0.713992290577717	0.756168564961534	0.726690483037302	0.762871571779268	0.769894304116453	0.76656209294615	0.651819356903493	0.765092572511026	0.703610650051795	0.723500410728067	0.697283252318606
7D_rep4...AshridgeEstate	0.665660239379162	0.62479286151073	0.64377823724615	0.598095166048225	0.730102065986324	0.721648364644981	0.73177792159491	0.72602164192628	0.676150911646243	0.640591427629739	0.64708506846743	0.625155978072066	0.720926971936936	0.687689047157261	0.696303654066922	0.677816503297094	0.674160846703023	0.667331877924031	0.674302093019906	0.675802009121388	0.687531140987043	0.653851982980436	0.653275324039126	0.638224821875611	0.781553916711333	0.780405328226273	0.783619353658432	0.784360099859675	0.70177608282503	0.675918800421463	0.674821191829129	0.685786330498068	0.772853870487537	0.778911411022316	0.766113801110602	0.722525078461829	0.789556020768236	0.772639347776403	0.79129676197866	0.787997125959569	0.64573267645289	0.634929314940468	0.621364230324452	0.683276536866391	0.678918084545318	0.672797948351325	0.67226367078847	0.693423787560894	0.684422498799945	0.679819807416459	0.690049707020216	0.634313217416699	0.681647131637163	0.691369109277215	0.680049757210392	0.646028425940981	0.645325455456414	0.645387422661365	0.622123676224493	0.642121226404335	0.723462631495808	0.787149308840649	0.75798452693288	0.763023563254187	0.680183159887031	0.70249687021777	0.687940103511117	0.687667139837418	0.729607882794574	0.772357914636823	0.743758433642131	0.78754117252918	0.762328148514417	0.791503392079212	0.657782919890338	0.777929926264844	0.711541714326819	0.729622571286598	0.699222550056435
7D_rep1...BurhamBeeches	0.742632893300318	0.722351586599535	0.727873856439961	0.730102065986324	0.711148022849682	0.728246754701365	0.737488186246624	0.733702619883653	0.735277674316866	0.722174254913247	0.721436547415508	0.720472014223744	0.73367371101138	0.720305677257138	0.723024348781848	0.722797539435111	0.708404540776509	0.707597516830783	0.712336561277312	0.714400114742087	0.737295810439946	0.725520632649554	0.719052063872886	0.73534517352482	0.755945685436676	0.749902237362552	0.752564280606706	0.751095084588216	0.74229707009568	0.726420612027037	0.730124338439708	0.739724926798235	0.758559002635304	0.762385381199325	0.758374755940341	0.741724734462271	0.768824698468766	0.747389553573496	0.767258067378653	0.763172668351942	0.725863284166827	0.720760981858284	0.714013551661012	0.73920002243376	0.729968424859669	0.726691499761419	0.724072466645279	0.73504239675825	0.730648037435345	0.730280582345574	0.737744631182642	0.706732133290757	0.730206200440004	0.732052716239685	0.724882060825954	0.719991697256502	0.730631899266624	0.722669618125121	0.717266449100797	0.725340133327543	0.762936948166217	0.785262098619173	0.786963394582094	0.788072205074941	0.736594746319124	0.74224488087122	0.745870861348821	0.728847759330598	0.753562203212021	0.761112083831481	0.768798312085895	0.786381802655502	0.770151865383685	0.775013517449095	0.722207565578262	0.779178349885041	0.752676190207599	0.761949444808392	0.754024961145603
7D_rep2...BurhamBeeches	0.734969607981536	0.711244957856974	0.716062720401541	0.721648364644981	0.728246754701365	0.697875363627158	0.728510659540468	0.725286941494338	0.728626773501383	0.714378398265031	0.714291206627169	0.712259606886066	0.730207991748315	0.714182118093192	0.717098433161309	0.717599784284912	0.70400894928095	0.701176992402423	0.706583142969136	0.709445936313962	0.731041302616547	0.718869478417701	0.712126711815896	0.728451899265717	0.754002359989561	0.746756661273002	0.749552757186351	0.74982841066729	0.737484142311573	0.719449094102601	0.722964412432765	0.733571048840965	0.757048725305773	0.757474031948109	0.750566972018565	0.739336463207093	0.768794951085345	0.746020999076382	0.765729840679734	0.763421934883949	0.718557102362543	0.713098003821213	0.706424363216215	0.733651509908226	0.724644619881036	0.721013929155413	0.718826687175647	0.72892339436554	0.723754705109334	0.721884388829646	0.730427716025924	0.701440070450395	0.72559030773988	0.727031602410247	0.719017992659762	0.714158206191739	0.723615101567052	0.714703270254288	0.70947900343462	0.717716397308076	0.752330480187086	0.780504874828149	0.781242824068682	0.781035835675024	0.728751637595441	0.735355158120612	0.738266658142762	0.722000121990267	0.746533642692817	0.753008863577648	0.764154041829337	0.775986296596028	0.767763215999734	0.764311192946756	0.714998348988909	0.772744824163412	0.747669507349401	0.754548931488118	0.748358412217302
7D_rep3...BurhamBeeches	0.741673324845316	0.720831104855776	0.720648863051469	0.73177792159491	0.737488186246624	0.728510659540468	0.70948757329558	0.734831903035892	0.737179516616281	0.725348091203861	0.723779409932994	0.723146075097101	0.740873321487664	0.725902751040723	0.726157377636827	0.730219837362555	0.71290069991373	0.711442608408588	0.714073529526055	0.717711218803242	0.738329911071308	0.730642319880798	0.721109207973344	0.73708525863675	0.760731286423038	0.756879646300079	0.757458426139472	0.760471525888153	0.747415644046786	0.729712144698775	0.730930919319307	0.742976127954602	0.76596291895438	0.762566350321051	0.753823047724723	0.747273586057284	0.773362079032956	0.756442276568806	0.771131407809604	0.770930583515583	0.727876259972644	0.722723090857365	0.71710913421746	0.741525765579997	0.731465727691296	0.726985184318244	0.724876347736194	0.735590749007632	0.727333644193562	0.727557673025343	0.736879181440871	0.709710749278015	0.735661646223359	0.735380941538533	0.727549582111006	0.722117691705165	0.732790730481864	0.724855153062555	0.719827430416552	0.728240274159853	0.752448084068589	0.784659566832611	0.785001970687341	0.782687845057684	0.735662858049937	0.739896367536108	0.744357991168429	0.726093629048638	0.748567644491033	0.755287687328957	0.769856459843517	0.774319209096965	0.778514440491322	0.763381624660047	0.720201859398575	0.773344689460765	0.750611559009357	0.759561143448145	0.753814985974565
7D_rep4...BurhamBeeches	0.740054961260433	0.718138632112217	0.723393553977032	0.72602164192628	0.733702619883653	0.725286941494338	0.734831903035892	0.708266647513103	0.73336128345367	0.720108064874409	0.71989171608641	0.717708266152379	0.734884320300923	0.719512161574946	0.721936356973499	0.720161354351242	0.707588226801122	0.70594839647927	0.710869113425477	0.71212688019623	0.737084241117909	0.724704331850582	0.719179878099301	0.732952954363989	0.759237814667211	0.752547925689471	0.754880973733207	0.754435600909448	0.74058330303166	0.72462950029604	0.72762557841419	0.735529647643783	0.761360753148419	0.762367358561483	0.757704771600963	0.744019947303926	0.772042141593349	0.750548552050214	0.769871844180879	0.766591723824528	0.723471399115678	0.719094748723398	0.712632728141644	0.738120788620198	0.729902973668671	0.726653772537879	0.724964095769081	0.734696744359892	0.731839810856341	0.73041072850973	0.737005573956409	0.709057848841933	0.730153412363895	0.731130306705641	0.724314968182664	0.71953544462887	0.728398250483493	0.720983783970119	0.715505526208977	0.722670301216888	0.759703643027136	0.785434936705136	0.785040185752426	0.785951490544725	0.736869684778463	0.742552848185977	0.746080903576055	0.728431541536813	0.754559037394313	0.762120931865769	0.770716854553243	0.783398267529342	0.773085165751529	0.774565823247259	0.722306831263786	0.777817179756972	0.753093925101831	0.759634173193815	0.753392904663206
7D_rep1...BeechWood	0.69619265739429	0.665666022266528	0.678991087271831	0.676150911646243	0.735277674316866	0.728626773501383	0.737179516616281	0.73336128345367	0.507736456095506	0.603628563719042	0.579418089401666	0.595177905762433	0.728236912490344	0.703242447604452	0.713967523588149	0.699772777363698	0.670740834406932	0.665882988985198	0.669097765626821	0.673755901259116	0.649426286539875	0.620200157579351	0.60820278038139	0.610523941374446	0.78489685847152	0.786867222824684	0.78970949888148	0.788152710420001	0.705377283816655	0.684924797634622	0.687387335917404	0.698908702679774	0.774859556704441	0.791079580352661	0.771564188532617	0.701948816221074	0.794406618540024	0.778708648831172	0.79858751858932	0.793309043962396	0.610307996581165	0.585994503317088	0.583139926281589	0.659262612231674	0.65146255100244	0.645123786384754	0.643964194236979	0.672887180552368	0.644862185699755	0.643521135683949	0.658456539444283	0.57226598970446	0.657152248630644	0.676371356836851	0.657560203227451	0.627850428758433	0.63182657846168	0.617626237141067	0.608608005378721	0.622407553077961	0.732770576501795	0.786406298968145	0.772691483436729	0.77723880257909	0.648905955850424	0.645281324984616	0.653408183673715	0.674676717535234	0.6978613498423	0.779673656737024	0.747646556652545	0.80117272316278	0.775602241982808	0.804991849247291	0.637785204952053	0.771031801523477	0.699452962129103	0.739168253862993	0.694982226830941
7D_rep2...BeechWood	0.669254508317706	0.627652740545443	0.647967776544763	0.640591427629739	0.722174254913247	0.714378398265031	0.725348091203861	0.720108064874409	0.603628563719042	0.412438222476055	0.569331996564425	0.524354382929176	0.712560666233897	0.683358331454334	0.690863345599462	0.673381906979572	0.648096178260666	0.641779862287279	0.646681919575551	0.649953554052933	0.601644003878954	0.545743253890963	0.55885079890975	0.54281729973069	0.773199247566379	0.775687881890782	0.777775815438957	0.777955374988789	0.683234183471249	0.655760638658317	0.656239144629734	0.669115134154891	0.761043164278525	0.779730034956977	0.756671393697095	0.672601629093428	0.782769698613396	0.765418529755263	0.788139745584503	0.782282293780218	0.552824247301602	0.513214068296378	0.523658123487451	0.615460882844195	0.619311022142494	0.602896816929273	0.6050235135997	0.642471820891674	0.59706356349882	0.580205430574551	0.5961334460922	0.514490737327689	0.633421508025282	0.64759053173232	0.627524190477756	0.572855132140912	0.570694024936548	0.562926969753416	0.54644058695971	0.56560127488316	0.711733731708572	0.781371191266828	0.759942306847818	0.762175330546949	0.611481975263788	0.650346576058375	0.609578723061884	0.654948540316323	0.68462899711143	0.770372282750806	0.731696561761221	0.793869593348594	0.759749347619405	0.797799523305229	0.599943518423098	0.770623362037189	0.677317315457073	0.721798128520287	0.663791828377166
