sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Time0D_7D_4M
A1.Riz1.AE103.1.Com	Riz1Rep1Com1	1	Rhizobium.1	1	no	AE103	AshridgeEstate	4M	1
A2.Riz1.BB22.1.Com	Riz1Rep1Com2	2	Rhizobium.1	1	no	BB22	BurhamBeeches	4M	1
A3.Riz1.SP02.1.Com	Riz1Rep1Com3	3	Rhizobium.1	1	no	SP02	SilwoodPark	4M	1
A4.Riz1.SP03.1.Com	Riz1Rep1Com4	4	Rhizobium.1	1	no	SP03	SilwoodPark	4M	1
A5.Riz1.SP04.1.Com	Riz1Rep1Com5	5	Rhizobium.1	1	no	SP04	SilwoodPark	4M	1
A6.Riz1.WYC41.1.Com	Riz1Rep1Com6	6	Rhizobium.1	1	no	WYC41	WythamWoods	4M	1
A7.Riz1.WYC42.1.Com	Riz1Rep1Com7	7	Rhizobium.1	1	no	WYC42	WythamWoods	4M	1
A8.Riz1.WYM25.1.Com	Riz1Rep1Com8	8	Rhizobium.1	1	no	WYM25	WythamWoods	4M	1
B1.Riz1.AE103.2.Com	Riz1Rep2Com1	1	Rhizobium.1	2	no	AE103	AshridgeEstate	4M	1
B2.Riz1.BB22.2.Com	Riz1Rep2Com2	2	Rhizobium.1	2	no	BB22	BurhamBeeches	4M	1
B3.Riz1.SP02.2.Com	Riz1Rep2Com3	3	Rhizobium.1	2	no	SP02	SilwoodPark	4M	1
B4.Riz1.SP03.2.Com	Riz1Rep2Com4	4	Rhizobium.1	2	no	SP03	SilwoodPark	4M	1
B5.Riz1.SP04.2.Com	Riz1Rep2Com5	5	Rhizobium.1	2	no	SP04	SilwoodPark	4M	1
B6.Riz1.WYC41.2.Com	Riz1Rep2Com6	6	Rhizobium.1	2	no	WYC41	WythamWoods	4M	1
B7.Riz1.WYC42.2.Com	Riz1Rep2Com7	7	Rhizobium.1	2	no	WYC42	WythamWoods	4M	1
B8.Riz1.WYM25.2.Com	Riz1Rep2Com8	8	Rhizobium.1	2	no	WYM25	WythamWoods	4M	1
C1.Nov2.AE103.1.Com	Novo2Rep1Com1	1	Novosphingobium.2 	1	no	AE103	AshridgeEstate	4M	1
C2.Nov2.BB22.1.Com	Novo2Rep1Com2	2	Novosphingobium.2 	1	no	BB22	BurhamBeeches	4M	1
C3.Nov2.SP02.1.Com	Novo2Rep1Com3	3	Novosphingobium.2	1	no	SP02	SilwoodPark	4M	1
C4.Nov2.SP03.1.Com	Novo2Rep1Com4	4	Novosphingobium.2	1	no	SP03	SilwoodPark	4M	1
C5.Nov2.SP04.1.Com	Novo2Rep1Com5	5	Novosphingobium.2	1	no	SP04	SilwoodPark	4M	1
C6.Nov2.WYC41.1.Com	Novo2Rep1Com6	6	Novosphingobium.2	1	no	WYC41	WythamWoods	4M	1
C7.Nov2.WYC42.1.Com	Novo2Rep1Com7	7	Novosphingobium.2	1	no	WYC42	WythamWoods	4M	1
C8.Nov2.WYM25.1.Com	Novo2Rep1Com8	8	Novosphingobium.2	1	no	WYM25	WythamWoods	4M	1
D1.Nov2.AE103.2.Com	Novo2Rep2Com1	1	Novosphingobium.2	2	no	AE103	AshridgeEstate	4M	2
D2.Nov2.BB22.2.Com	Novo2Rep2Com2	2	Novosphingobium.2	2	no	BB22	BurhamBeeches	4M	1
D3.Nov2.SP02.2.Com	Novo2Rep2Com3	3	Novosphingobium.2	2	no	SP02	SilwoodPark	4M	1
D4.Nov2.SP03.2.Com	Novo2Rep2Com4	4	Novosphingobium.2	2	no	SP03	SilwoodPark	4M	2
D5.Nov2.SP04.2.Com	Novo2Rep2Com5	5	Novosphingobium.2	2	no	SP04	SilwoodPark	4M	1
