sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Time0D_7D_matched
AE05.1	NA	NA	NA	1	NA	AE05	AshridgeEstate	7D_rep1	1
AE05.2	NA	NA	NA	2	NA	AE05	AshridgeEstate	7D_rep2	1
AE05.3	NA	NA	NA	3	NA	AE05	AshridgeEstate	7D_rep3	1
AE05.4	NA	NA	NA	4	NA	AE05	AshridgeEstate	7D_rep4	1
AE101.1	NA	NA	NA	1	NA	AE101	AshridgeEstate	7D_rep1	1
AE101.2	NA	NA	NA	2	NA	AE101	AshridgeEstate	7D_rep2	1
AE101.3	NA	NA	NA	3	NA	AE101	AshridgeEstate	7D_rep3	1
AE101.4	NA	NA	NA	4	NA	AE101	AshridgeEstate	7D_rep4	1
AE103.1	NA	NA	NA	1	NA	AE103	AshridgeEstate	7D_rep1	1
AE103.2	NA	NA	NA	2	NA	AE103	AshridgeEstate	7D_rep2	1
AE103.3	NA	NA	NA	3	NA	AE103	AshridgeEstate	7D_rep3	1
AE103.4	NA	NA	NA	4	NA	AE103	AshridgeEstate	7D_rep4	1
AE126.1	NA	NA	NA	1	NA	AE126	AshridgeEstate	7D_rep1	2
AE126.2	NA	NA	NA	2	NA	AE126	AshridgeEstate	7D_rep2	1
AE126.3	NA	NA	NA	3	NA	AE126	AshridgeEstate	7D_rep3	2
AE126.4	NA	NA	NA	4	NA	AE126	AshridgeEstate	7D_rep4	2
AE155.1	NA	NA	NA	1	NA	AE155	AshridgeEstate	7D_rep1	1
AE155.2	NA	NA	NA	2	NA	AE155	AshridgeEstate	7D_rep2	1
AE155.3	NA	NA	NA	3	NA	AE155	AshridgeEstate	7D_rep3	1
AE155.4	NA	NA	NA	4	NA	AE155	AshridgeEstate	7D_rep4	1
AE172.1	NA	NA	NA	1	NA	AE172	AshridgeEstate	7D_rep1	1
AE172.2	NA	NA	NA	2	NA	AE172	AshridgeEstate	7D_rep2	1
AE172.3	NA	NA	NA	3	NA	AE172	AshridgeEstate	7D_rep3	1
AE172.4	NA	NA	NA	4	NA	AE172	AshridgeEstate	7D_rep4	1
AE22.1	NA	NA	NA	1	NA	AE22	AshridgeEstate	7D_rep1	1
AE22.2	NA	NA	NA	2	NA	AE22	AshridgeEstate	7D_rep2	1
AE22.3	NA	NA	NA	3	NA	AE22	AshridgeEstate	7D_rep3	1
AE22.4	NA	NA	NA	4	NA	AE22	AshridgeEstate	7D_rep4	1
AE23.1	NA	NA	NA	1	NA	AE23	AshridgeEstate	7D_rep1	1
AE23.2	NA	NA	NA	2	NA	AE23	AshridgeEstate	7D_rep2	1
AE23.3	NA	NA	NA	3	NA	AE23	AshridgeEstate	7D_rep3	1
AE23.4	NA	NA	NA	4	NA	AE23	AshridgeEstate	7D_rep4	1
AE26.1	NA	NA	NA	1	NA	AE26	AshridgeEstate	7D_rep1	1
AE26.2	NA	NA	NA	2	NA	AE26	AshridgeEstate	7D_rep2	1
AE26.3	NA	NA	NA	3	NA	AE26	AshridgeEstate	7D_rep3	1
AE26.4	NA	NA	NA	4	NA	AE26	AshridgeEstate	7D_rep4	1
AE27.1	NA	NA	NA	1	NA	AE27	AshridgeEstate	7D_rep1	1
AE27.2	NA	NA	NA	2	NA	AE27	AshridgeEstate	7D_rep2	1
AE27.3	NA	NA	NA	3	NA	AE27	AshridgeEstate	7D_rep3	1
AE27.4	NA	NA	NA	4	NA	AE27	AshridgeEstate	7D_rep4	1
AE95.1	NA	NA	NA	1	NA	AE95	AshridgeEstate	7D_rep1	1
AE95.2	NA	NA	NA	2	NA	AE95	AshridgeEstate	7D_rep2	1
AE95.3	NA	NA	NA	3	NA	AE95	AshridgeEstate	7D_rep3	1
AE95.4	NA	NA	NA	4	NA	AE95	AshridgeEstate	7D_rep4	1
BB01.1	NA	NA	NA	1	NA	BB01	BurhamBeeches	7D_rep1	1
BB01.2	NA	NA	NA	2	NA	BB01	BurhamBeeches	7D_rep2	1
BB01.3	NA	NA	NA	3	NA	BB01	BurhamBeeches	7D_rep3	1
BB01.4	NA	NA	NA	4	NA	BB01	BurhamBeeches	7D_rep4	1
BB02.1	NA	NA	NA	1	NA	BB02	BurhamBeeches	7D_rep1	2
BB02.2	NA	NA	NA	2	NA	BB02	BurhamBeeches	7D_rep2	2
BB02.3	NA	NA	NA	3	NA	BB02	BurhamBeeches	7D_rep3	2
BB02.4	NA	NA	NA	4	NA	BB02	BurhamBeeches	7D_rep4	2
BB03.1	NA	NA	NA	1	NA	BB03	BurhamBeeches	7D_rep1	1
BB03.2	NA	NA	NA	2	NA	BB03	BurhamBeeches	7D_rep2	1
BB03.3	NA	NA	NA	3	NA	BB03	BurhamBeeches	7D_rep3	1
BB03.4	NA	NA	NA	4	NA	BB03	BurhamBeeches	7D_rep4	1
BB05.1	NA	NA	NA	1	NA	BB05	BurhamBeeches	7D_rep1	1
BB05.2	NA	NA	NA	2	NA	BB05	BurhamBeeches	7D_rep2	1
BB05.3	NA	NA	NA	3	NA	BB05	BurhamBeeches	7D_rep3	1
BB05.4	NA	NA	NA	4	NA	BB05	BurhamBeeches	7D_rep4	1
BB06.1	NA	NA	NA	1	NA	BB06	BurhamBeeches	7D_rep1	1
BB06.2	NA	NA	NA	2	NA	BB06	BurhamBeeches	7D_rep2	1
BB06.3	NA	NA	NA	3	NA	BB06	BurhamBeeches	7D_rep3	2
BB06.4	NA	NA	NA	4	NA	BB06	BurhamBeeches	7D_rep4	1
BB07.1	NA	NA	NA	1	NA	BB07	BurhamBeeches	7D_rep1	1
BB07.2	NA	NA	NA	2	NA	BB07	BurhamBeeches	7D_rep2	1
BB07.3	NA	NA	NA	3	NA	BB07	BurhamBeeches	7D_rep3	1
BB07.4	NA	NA	NA	4	NA	BB07	BurhamBeeches	7D_rep4	1
BB09.1	NA	NA	NA	1	NA	BB09	BurhamBeeches	7D_rep1	1
BB09.2	NA	NA	NA	2	NA	BB09	BurhamBeeches	7D_rep2	1
BB09.3	NA	NA	NA	3	NA	BB09	BurhamBeeches	7D_rep3	1
BB09.4	NA	NA	NA	4	NA	BB09	BurhamBeeches	7D_rep4	1
BB10.1	NA	NA	NA	1	NA	BB10	BurhamBeeches	7D_rep1	2
BB10.2	NA	NA	NA	2	NA	BB10	BurhamBeeches	7D_rep2	2
BB10.3	NA	NA	NA	3	NA	BB10	BurhamBeeches	7D_rep3	1
BB10.4	NA	NA	NA	4	NA	BB10	BurhamBeeches	7D_rep4	1
BB11.1	NA	NA	NA	1	NA	BB11	BurhamBeeches	7D_rep1	1
BB11.2	NA	NA	NA	2	NA	BB11	BurhamBeeches	7D_rep2	1
BB11.3	NA	NA	NA	3	NA	BB11	BurhamBeeches	7D_rep3	1
BB11.4	NA	NA	NA	4	NA	BB11	BurhamBeeches	7D_rep4	1
BB12.1	NA	NA	NA	1	NA	BB12	BurhamBeeches	7D_rep1	1
BB12.2	NA	NA	NA	2	NA	BB12	BurhamBeeches	7D_rep2	1
BB12.3	NA	NA	NA	3	NA	BB12	BurhamBeeches	7D_rep3	1
