sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched
1	A1.Riz1.AE103.1.Com	Riz1Rep1Com1	1	Rhizobium.1	0	no	AE103	AshridgeEstate	4M	NA	NA	1	NA	NA	NA	NA	0.1	1	1	NA	NA
2	A2.Riz1.BB22.1.Com	Riz1Rep1Com2	2	Rhizobium.1	0	no	BB22	BurhamBeeches	4M	NA	NA	1	NA	NA	NA	NA	0.1	1	1	NA	NA
3	A3.Riz1.SP02.1.Com	Riz1Rep1Com3	3	Rhizobium.1	0	no	SP02	SilwoodPark	4M	NA	NA	2	NA	NA	NA	NA	0.2	2	1	NA	NA
4	A4.Riz1.SP03.1.Com	Riz1Rep1Com4	4	Rhizobium.1	0	no	SP03	SilwoodPark	4M	NA	NA	2	NA	NA	NA	NA	0.2	2	1	NA	NA
5	A5.Riz1.SP04.1.Com	Riz1Rep1Com5	5	Rhizobium.1	0	no	SP04	SilwoodPark	4M	NA	NA	3	NA	NA	NA	NA	0.3	3	1	NA	NA
6	A6.Riz1.WYC41.1.Com	Riz1Rep1Com6	6	Rhizobium.1	0	no	WYC41	WythamWoods	4M	NA	NA	2	NA	NA	NA	NA	0.2	2	1	NA	NA
7	A7.Riz1.WYC42.1.Com	Riz1Rep1Com7	7	Rhizobium.1	0	no	WYC42	WythamWoods	4M	NA	NA	4	NA	NA	NA	NA	0.4	4	1	NA	NA
8	A8.Riz1.WYM25.1.Com	Riz1Rep1Com8	8	Rhizobium.1	0	no	WYM25	WythamWoods	4M	NA	NA	2	NA	NA	NA	NA	0.2	2	1	NA	NA
9	B1.Riz1.AE103.2.Com	Riz1Rep2Com1	1	Rhizobium.1	0	no	AE103	AshridgeEstate	4M	NA	NA	5	NA	NA	NA	NA	0.5	5	1	NA	NA
10	B2.Riz1.BB22.2.Com	Riz1Rep2Com2	2	Rhizobium.1	0	no	BB22	BurhamBeeches	4M	NA	NA	6	NA	NA	NA	NA	0.6	6	1	NA	NA
11	B3.Riz1.SP02.2.Com	Riz1Rep2Com3	3	Rhizobium.1	0	no	SP02	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	0.6	6	1	NA	NA
12	B4.Riz1.SP03.2.Com	Riz1Rep2Com4	4	Rhizobium.1	0	no	SP03	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	0.6	6	1	NA	NA
13	B5.Riz1.SP04.2.Com	Riz1Rep2Com5	5	Rhizobium.1	0	no	SP04	SilwoodPark	4M	NA	NA	7	NA	NA	NA	NA	0.7	7	1	NA	NA
14	B6.Riz1.WYC41.2.Com	Riz1Rep2Com6	6	Rhizobium.1	0	no	WYC41	WythamWoods	4M	NA	NA	8	NA	NA	NA	NA	0.8	8	1	NA	NA
15	B7.Riz1.WYC42.2.Com	Riz1Rep2Com7	7	Rhizobium.1	0	no	WYC42	WythamWoods	4M	NA	NA	7	NA	NA	NA	NA	0.7	7	1	NA	NA
16	B8.Riz1.WYM25.2.Com	Riz1Rep2Com8	8	Rhizobium.1	0	no	WYM25	WythamWoods	4M	NA	NA	9	NA	NA	NA	NA	0.9	9	1	NA	NA
17	C1.Nov2.AE103.1.Com	Novo2Rep1Com1	1	Novosphingobium.2 	0	no	AE103	AshridgeEstate	4M	NA	NA	10	NA	NA	NA	NA	0.1	10	1	NA	NA
18	C2.Nov2.BB22.1.Com	Novo2Rep1Com2	2	Novosphingobium.2 	0	no	BB22	BurhamBeeches	4M	NA	NA	11	NA	NA	NA	NA	0.11	11	1	NA	NA
19	C3.Nov2.SP02.1.Com	Novo2Rep1Com3	3	Novosphingobium.2	0	no	SP02	SilwoodPark	4M	NA	NA	11	NA	NA	NA	NA	0.11	11	1	NA	NA
20	C4.Nov2.SP03.1.Com	Novo2Rep1Com4	4	Novosphingobium.2	0	no	SP03	SilwoodPark	4M	NA	NA	11	NA	NA	NA	NA	0.11	11	1	NA	NA
21	C5.Nov2.SP04.1.Com	Novo2Rep1Com5	5	Novosphingobium.2	0	no	SP04	SilwoodPark	4M	NA	NA	12	NA	NA	NA	NA	0.12	12	1	NA	NA
22	C6.Nov2.WYC41.1.Com	Novo2Rep1Com6	6	Novosphingobium.2	0	no	WYC41	WythamWoods	4M	NA	NA	11	NA	NA	NA	NA	0.11	11	1	NA	NA
23	C7.Nov2.WYC42.1.Com	Novo2Rep1Com7	7	Novosphingobium.2	0	no	WYC42	WythamWoods	4M	NA	NA	13	NA	NA	NA	NA	0.13	13	1	NA	NA
24	C8.Nov2.WYM25.1.Com	Novo2Rep1Com8	8	Novosphingobium.2	0	no	WYM25	WythamWoods	4M	NA	NA	13	NA	NA	NA	NA	0.13	13	1	NA	NA
25	D1.Nov2.AE103.2.Com	Novo2Rep2Com1	1	Novosphingobium.2	0	no	AE103	AshridgeEstate	4M	NA	NA	14	NA	NA	NA	NA	0.14	14	2	NA	NA
26	D2.Nov2.BB22.2.Com	Novo2Rep2Com2	2	Novosphingobium.2	0	no	BB22	BurhamBeeches	4M	NA	NA	15	NA	NA	NA	NA	0.15	15	1	NA	NA
27	D3.Nov2.SP02.2.Com	Novo2Rep2Com3	3	Novosphingobium.2	0	no	SP02	SilwoodPark	4M	NA	NA	16	NA	NA	NA	NA	0.16	16	1	NA	NA
28	D4.Nov2.SP03.2.Com	Novo2Rep2Com4	4	Novosphingobium.2	0	no	SP03	SilwoodPark	4M	NA	NA	17	NA	NA	NA	NA	0.17	17	2	NA	NA
29	D5.Nov2.SP04.2.Com	Novo2Rep2Com5	5	Novosphingobium.2	0	no	SP04	SilwoodPark	4M	NA	NA	18	NA	NA	NA	NA	0.18	18	1	NA	NA
30	D6.Nov2.WYC41.2.Com	Novo2Rep2Com6	6	Novosphingobium.2	0	no	WYC41	WythamWoods	4M	NA	NA	19	NA	NA	NA	NA	0.19	19	1	NA	NA
31	D7.Nov2.WYC42.2.Com	Novo2Rep2Com7	7	Novosphingobium.2	0	no	WYC42	WythamWoods	4M	NA	NA	19	NA	NA	NA	NA	0.19	19	1	NA	NA
32	D8.Nov2.WYM25.2.Com	Novo2Rep2Com8	8	Novosphingobium.2	0	no	WYM25	WythamWoods	4M	NA	NA	19	NA	NA	NA	NA	0.19	19	1	NA	NA
33	E1.IsoMix.AE103.1.Com	StrainMix1Rep1Com1	1	StrainMix	0	no	AE103	AshridgeEstate	4M	NA	NA	20	NA	NA	NA	NA	0.2	20	1	NA	NA
34	E2.IsoMix.BB22.1.Com	StrainMix1Rep1Com2	2	StrainMix	0	no	BB22	BurhamBeeches	4M	NA	NA	21	NA	NA	NA	NA	0.21	21	1	NA	NA
35	E3.IsoMix.SP02.1.Com	StrainMix1Rep1Com3	3	StrainMix	0	no	SP02	SilwoodPark	4M	NA	NA	22	NA	NA	NA	NA	0.22	22	1	NA	NA
36	E4.IsoMix.SP03.1.Com	StrainMix1Rep1Com4	4	StrainMix	0	no	SP03	SilwoodPark	4M	NA	NA	23	NA	NA	NA	NA	0.23	23	1	NA	NA
37	E5.IsoMix.SP04.1.Com	StrainMix1Rep1Com5	5	StrainMix	0	no	SP04	SilwoodPark	4M	NA	NA	24	NA	NA	NA	NA	0.24	24	1	NA	NA
38	E6.IsoMix.WYC41.1.Com	StrainMix1Rep1Com6	6	StrainMix	0	no	WYC41	WythamWoods	4M	NA	NA	24	NA	NA	NA	NA	0.24	24	1	NA	NA
39	E7.IsoMix.WYC42.1.Com	StrainMix1Rep1Com7	7	StrainMix	0	no	WYC42	WythamWoods	4M	NA	NA	25	NA	NA	NA	NA	0.25	25	1	NA	NA
40	E8.IsoMix.WYM25.1.Com	StrainMix1Rep1Com8	8	StrainMix	0	no	WYM25	WythamWoods	4M	NA	NA	25	NA	NA	NA	NA	0.25	25	1	NA	NA
41	F1.IsoMix.AE103.2.Com	StrainMixRep2Com1	1	StrainMix	0	no	AE103	AshridgeEstate	4M	NA	NA	26	NA	NA	NA	NA	0.26	26	1	NA	NA
42	F2.IsoMix.BB22.2.Com	StrainMixRep2Com2	2	StrainMix	0	no	BB22	BurhamBeeches	4M	NA	NA	27	NA	NA	NA	NA	0.27	27	1	NA	NA
43	F3.IsoMix.SP02.2.Com	StrainMixRep2Com3	3	StrainMix	0	no	SP02	SilwoodPark	4M	NA	NA	28	NA	NA	NA	NA	0.28	28	1	NA	NA
44	F4.IsoMix.SP03.2.Com	StrainMixRep2Com4	4	StrainMix	0	no	SP03	SilwoodPark	4M	NA	NA	29	NA	NA	NA	NA	0.29	29	1	NA	NA
45	F5.IsoMix.SP04.2.Com	StrainMixRep2Com5	5	StrainMix	0	no	SP04	SilwoodPark	4M	NA	NA	30	NA	NA	NA	NA	0.3	30	1	NA	NA
46	F6.IsoMix.WYC41.2.Com	StrainMixRep2Com6	6	StrainMix	0	no	WYC41	WythamWoods	4M	NA	NA	30	NA	NA	NA	NA	0.3	30	1	NA	NA
47	F7.IsoMix.WYC42.2.Com	StrainMixRep2Com7	7	StrainMix	0	no	WYC42	WythamWoods	4M	NA	NA	31	NA	NA	NA	NA	0.31	31	1	NA	NA
48	F8.IsoMix.WYM25.2.Com	StrainMixRep2Com8	8	StrainMix	0	no	WYM25	WythamWoods	4M	NA	NA	32	NA	NA	NA	NA	0.32	32	1	NA	NA
49	G1.CTRL.AE103.1.Com	CTRLRep1Com1	1	CTRL	0	no	AE103	AshridgeEstate	4M	NA	NA	33	NA	NA	NA	NA	0.33	33	1	NA	NA
50	G2.CTRL.BB22.1.Com	CTRLRep1Com2	2	CTRL	0	no	BB22	BurhamBeeches	4M	NA	NA	34	NA	NA	NA	NA	0.34	34	1	NA	NA
51	G3.CTRL.SP02.1.Com	CTRLRep1Com3	3	CTRL	0	no	SP02	SilwoodPark	4M	NA	NA	35	NA	NA	NA	NA	0.35	35	1	NA	NA
52	G4.CTRL.SP03.1.Com	CTRLRep1Com4	4	CTRL	0	no	SP03	SilwoodPark	4M	NA	NA	36	NA	NA	NA	NA	0.36	36	1	NA	NA
53	G5.CTRL.SP04.1.Com	CTRLRep1Com5	5	CTRL	0	no	SP04	SilwoodPark	4M	NA	NA	37	NA	NA	NA	NA	0.37	37	1	NA	NA
54	G6.CTRL.WYC41.1.Com	CTRLRep1Com6	6	CTRL	0	no	WYC41	WythamWoods	4M	NA	NA	38	NA	NA	NA	NA	0.38	38	1	NA	NA
55	G7.CTRL.WYC42.1.Com	CTRLRep1Com7	7	CTRL	0	no	WYC42	WythamWoods	4M	NA	NA	39	NA	NA	NA	NA	0.39	39	1	NA	NA
56	G8.CTRL.WYM25.1.Com	CTRLRep1Com8	8	CTRL	0	no	WYM25	WythamWoods	4M	NA	NA	39	NA	NA	NA	NA	0.39	39	1	NA	NA
57	H1.CTRL.AE103.2.Com	CTRLRep2Com1	1	CTRL	0	no	AE103	AshridgeEstate	4M	NA	NA	40	NA	NA	NA	NA	0.4	40	1	NA	NA
58	H2.CTRL.BB22.2.Com	CTRLRep2Com2	2	CTRL	0	no	BB22	BurhamBeeches	4M	NA	NA	41	NA	NA	NA	NA	0.41	41	1	NA	NA
59	H3.CTRL.SP02.2.Com	CTRLRep2Com3	3	CTRL	0	no	SP02	SilwoodPark	4M	NA	NA	33	NA	NA	NA	NA	0.33	33	1	NA	NA
60	H4.CTRL.SP03.2.Com	CTRLRep2Com4	4	CTRL	0	no	SP03	SilwoodPark	4M	NA	NA	42	NA	NA	NA	NA	0.42	42	1	NA	NA
