sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched	ExpCompact	exp.replicate.partition	exp.partition	ancestral.class	Examples	startnone_final_class
A1.Riz1.AE103.1.Com	Riz1Rep1Com1	1	Rhizobium.1	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	1	NA	NA	NA	NA	Rep0.Class1	Class1	1	NA	NA	Evolved	Evolved.Rep0.Class1	Evolved.Class1	4	 Other	Starting communities
A2.Riz1.BB22.1.Com	Riz1Rep1Com2	2	Rhizobium.1	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	1	NA	NA	NA	NA	Rep0.Class1	Class1	1	NA	NA	Evolved	Evolved.Rep0.Class1	Evolved.Class1	3	 Other	Starting communities
A3.Riz1.SP02.1.Com	Riz1Rep1Com3	3	Rhizobium.1	Rep0	no	SP02	SilwoodPark	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	1	NA	NA	Evolved	Evolved.Rep0.Class2	Evolved.Class2	NA	 Other	Starting communities
A4.Riz1.SP03.1.Com	Riz1Rep1Com4	4	Rhizobium.1	Rep0	no	SP03	SilwoodPark	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	1	NA	NA	Evolved	Evolved.Rep0.Class2	Evolved.Class2	NA	 Other	Starting communities
A5.Riz1.SP04.1.Com	Riz1Rep1Com5	5	Rhizobium.1	Rep0	no	SP04	SilwoodPark	4M	NA	NA	3	NA	NA	NA	NA	Rep0.Class3	Class3	1	NA	NA	Evolved	Evolved.Rep0.Class3	Evolved.Class3	NA	 Other	Starting communities
A6.Riz1.WYC41.1.Com	Riz1Rep1Com6	6	Rhizobium.1	Rep0	no	WYC41	WythamWoods	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	1	NA	NA	Evolved	Evolved.Rep0.Class2	Evolved.Class2	3	 Other	Starting communities
A7.Riz1.WYC42.1.Com	Riz1Rep1Com7	7	Rhizobium.1	Rep0	no	WYC42	WythamWoods	4M	NA	NA	4	NA	NA	NA	NA	Rep0.Class4	Class4	1	NA	NA	Evolved	Evolved.Rep0.Class4	Evolved.Class4	3	 Other	Starting communities
A8.Riz1.WYM25.1.Com	Riz1Rep1Com8	8	Rhizobium.1	Rep0	no	WYM25	WythamWoods	4M	NA	NA	2	NA	NA	NA	NA	Rep0.Class2	Class2	1	NA	NA	Evolved	Evolved.Rep0.Class2	Evolved.Class2	3	 Other	Starting communities
B1.Riz1.AE103.2.Com	Riz1Rep2Com1	1	Rhizobium.1	Rep0	no	AE103	AshridgeEstate	4M	NA	NA	5	NA	NA	NA	NA	Rep0.Class5	Class5	1	NA	NA	Evolved	Evolved.Rep0.Class5	Evolved.Class5	4	 Other	Starting communities
B2.Riz1.BB22.2.Com	Riz1Rep2Com2	2	Rhizobium.1	Rep0	no	BB22	BurhamBeeches	4M	NA	NA	6	NA	NA	NA	NA	Rep0.Class6	Class6	1	NA	NA	Evolved	Evolved.Rep0.Class6	Evolved.Class6	3	 Other	Starting communities
B3.Riz1.SP02.2.Com	Riz1Rep2Com3	3	Rhizobium.1	Rep0	no	SP02	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	Rep0.Class6	Class6	1	NA	NA	Evolved	Evolved.Rep0.Class6	Evolved.Class6	NA	 Other	Starting communities
B4.Riz1.SP03.2.Com	Riz1Rep2Com4	4	Rhizobium.1	Rep0	no	SP03	SilwoodPark	4M	NA	NA	6	NA	NA	NA	NA	Rep0.Class6	Class6	1	NA	NA	Evolved	Evolved.Rep0.Class6	Evolved.Class6	NA	 Other	Starting communities
