# >> TraceSamples_fromPartTime0toPartTime7.pl <<
# >> Running at date: 21:34:19, Tue May 17, 2022
# >> Running directory: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Repositories/convergence/Partial_Matt_pipeline/7.2_match
# >> Zürich, ETH, A.P-G.
# >> Input file: ../7.1_classes/metadata_Time0D-7D-4M_May2022_wJSDpart.csv
# >> This output file: Matrix_TracingSamplesTime0toTime7_SJD.out
ParentSample	PartitionTime0	PartTime7Rep1	PartTime7Rep2	PartTime7Rep3	PartTime7Rep4   Diverging
AE12	0.3	1.1	2.1		4.1 0
WiW30	0.4	1.1	2.1	3.2	4.2 2
WiW14	0.4	1.1	2.1	3.1	4.2 1
WiW29	0.4	1.1	2.1	3.1	4.2 1
WP16	0.3	1.2	2.2	3.2	4.1 1
BB18	0.1	1.2	2.2	3.2	4.1 1
AE52	0.3	1.1	2.1	3.1	    0
BB16	0.4	1.1	2.2	3.2	4.2 1
WiW47	0.1	1.1	2.1	3.2	4.1 1
WP15	0.3	1.2	2.2	3.2	4.1 1
SAC05	0.3	1.2	2.2	3.2	4.1 1
WiW44	0.4	1.1	2.1	3.2	4.1 1
BB08	0.3	1.2	2.2		4.2 0
BB05	0.1	1.1	2.1	3.2	4.1 1
WP12	0.3	1.2	2.2	3.2	4.1 1
WiW45	0.4	1.1	2.1	3.2	4.1 1
BB23	0.4	1.1	2.2	3.2	4.1 2
OWW03	0.1	1.1	2.1	3.1	0
WYC42	0.3	1.2	2.1	3.2	4.1 2
WiW25	0.4	1.1	2.1	3.1	4.2 1
WiW28	0.4	1.1	2.1	3.1	4.2 1
OWW11	0.4	1.1	2.2	3.1	4.1 1
WEL03	0.5	1.2	2.2	3.2	4.1 1
RDM01	0.3	1.2	2.1	3.2	4.2 1
BB21	0.1	1.1	2.2	3.1	4.1 1
WiW20	0.1	1.1	2.1	3.1	4.2 1
WiW43	0.4	1.1	2.1	3.2	4.1 1
WiW16	0.4	1.1	2.1	3.1	4.2 1
WiW53	0.3	1.2	2.1	3.1	4.1 1
WYT31	0.1	1.1	2.2	3.1	4.1 1
WiW21	0.4	1.1	2.1	3.1	4.2 1
BB20	0.4	1.1	2.2	3.1	4.1 1
WP14	0.5	1.1	2.2	3.2	4.1 2
WiW19	0.4	1.1	2.1	3.1	4.2 1
WiW46	0.4	1.1	2.1	3.2	4.1 1
SAC08	0.3	1.1	2.2	3.2	4.1 2
BWd02	0.4	1.1	2.2	3.1	4.1 1
BB40	0.5	1.2	2.1	3.2	4.2 1
WiW27	0.4	1.1	2.1	3.1	4.2 1
WiW48	0.4	1.1	2.1	3.2	4.1 1
SAC03	0.3	1.2	2.2	3.2	4.1 1
SAC06	0.2	1.2	2.2	3.2	4.1 1
BB60	0.2	1.1	2.1	3.1	4.2 1
WiW32	0.4	1.1	2.1	3.1	4.2 1
WiW23	0.1	1.1	2.1	3.1	4.2 1
WiW18	0.3	1.2	2.2	3.1	4.2 1
WiW24	0.4	1.1	2.1	3.1	4.2 1
SAC04	0.3	1.2	2.2	3.2	4.1 1
SAC02	0.5	1.2	2.2	3.2	4.1 1
WP13	0.2	1.2	2.2	3.2	4.1 1
WiW09	0.2	1.1	2.1	3.1	    0
WiW41	0.1	1.1	2.1	3.2	4.1 1
WYT32	0.1	1.1	2.2	3.1	4.2 2
BB14	0.4	1.1	2.2	3.1	4.2 2
BB10	0.3	1.2	2.2	3.2	4.1 1
SAC07	0.2	1.2	2.2	3.2	4.1 1
BB57	0.3	1.2	2.1	3.2	4.2 1
WYT30	0.1	1.1	2.2	3.1	4.1 1
WiW15	0.1	1.1	2.1	3.1	4.2 1
WF07	0.1	1.1	2.1	3.1	4.2 1
WiW17	0.1	1.1	2.1	3.1	4.2 1
BB61	0.3	1.2	2.2	3.2	4.1 1
