AshCopse	AshridgeEstate	BeechWood	BirchcleaveWood	BishamWoods	BurhamBeeches	CombeHill	GreenbroomCovert	HuntsWoods	KnightshayesCourt	LongWood	OldWindsorWood	PullingshillWood	SilwoodPark	StAlbansCity	Sunningdale	WaterersPark	WindsorForest	WindsorGreatPark	WythamWoods
1	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
2	0	8	0	0	0	1	0	4	0	0	0	1	0	1	0	0	0	0	1	2
3	0	7	0	1	0	21	5	1	0	0	0	0	2	0	6	2	4	0	1	10
4	2	23	0	0	0	6	6	0	0	0	0	0	2	0	5	0	1	0	2	2
5	0	8	1	0	0	9	0	7	0	0	1	2	0	0	0	0	0	0	2	10
6	0	9	0	0	0	11	6	1	0	0	0	0	3	1	1	0	1	0	1	14
7	0	3	2	0	4	7	0	8	0	0	5	5	3	0	0	0	1	4	3	11
8	0	1	0	0	0	7	5	0	0	0	0	0	8	0	0	0	0	0	3	1
9	0	3	1	0	18	4	0	12	9	0	1	5	1	0	0	0	0	2	1	33
10	0	5	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	4
11	1	5	0	0	0	5	0	3	0	0	3	1	1	5	0	0	2	0	0	16
12	4	13	1	2	0	1	0	7	0	0	0	0	0	0	0	0	2	0	1	29
13	0	4	0	0	1	0	0	3	7	0	0	0	0	0	0	0	1	0	0	31
14	0	4	0	1	0	3	1	1	0	0	0	0	2	0	2	0	1	0	3	0
15	0	1	0	0	0	3	1	3	0	0	0	0	0	0	0	0	0	0	1	9
16	0	1	1	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	1	13
17	9	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
