7D_rep1...AshridgeEstate	7D_rep2...AshridgeEstate	7D_rep3...AshridgeEstate	7D_rep4...AshridgeEstate	7D_rep1...BurhamBeeches	7D_rep2...BurhamBeeches	7D_rep3...BurhamBeeches	7D_rep4...BurhamBeeches	7D_rep1...BeechWood	7D_rep2...BeechWood	7D_rep3...BeechWood	7D_rep4...BeechWood	7D_rep1...KnightshayesCourt	7D_rep2...KnightshayesCourt	7D_rep3...KnightshayesCourt	7D_rep4...KnightshayesCourt	7D_rep1...LongWood	7D_rep2...LongWood	7D_rep3...LongWood	7D_rep4...LongWood	7D_rep1...OldWindsorWood	7D_rep2...OldWindsorWood	7D_rep3...OldWindsorWood	7D_rep4...OldWindsorWood	7D_rep1...PullingshillWood	7D_rep2...PullingshillWood	7D_rep3...PullingshillWood	7D_rep4...PullingshillWood	7D_rep1...SilwoodPark	7D_rep2...SilwoodPark	7D_rep3...SilwoodPark	7D_rep4...SilwoodPark	7D_rep1...StAlbansCity	7D_rep2...StAlbansCity	7D_rep3...StAlbansCity	7D_rep4...StAlbansCity	7D_rep1...CombeHill	7D_rep2...CombeHill	7D_rep3...CombeHill	7D_rep4...CombeHill	7D_rep1...WindsorForest	7D_rep2...WindsorForest	7D_rep3...WindsorForest	7D_rep4...WindsorForest	7D_rep1...GreenbroomCovert	7D_rep2...GreenbroomCovert	7D_rep3...GreenbroomCovert	7D_rep4...GreenbroomCovert	7D_rep1...WindsorGreatPark	7D_rep2...WindsorGreatPark	7D_rep3...WindsorGreatPark	7D_rep4...WindsorGreatPark	7D_rep1...WaterersPark	7D_rep2...WaterersPark	7D_rep3...WaterersPark	7D_rep4...WaterersPark	7D_rep1...WythamWoods	7D_rep2...WythamWoods	7D_rep3...WythamWoods	7D_rep4...WythamWoods	0D...AshridgeEstate	0D...BurhamBeeches	0D...BirchcleaveWood	0D...AshCopse	0D...BishamWoods	0D...BeechWood	0D...HuntsWoods	0D...LongWood	0D...OldWindsorWood	0D...PullingshillWood	0D...SilwoodPark	0D...StAlbansCity	0D...Sunningdale	0D...CombeHill	0D...WindsorForest	0D...WindsorGreatPark	0D...GreenbroomCovert	0D...WaterersPark	0D...WythamWoods
7D_rep1...AshridgeEstate	0.641694787871413	0.651135056527378	0.664386860206488	0.665726640760183	0.742132726625789	0.734099919498987	0.740966039733968	0.739058595578835	0.695869478666718	0.669186994106827	0.672298999817171	0.652819029843282	0.731495474655834	0.706560725564807	0.711246874318765	0.700407686980028	0.698083941116422	0.693092879106723	0.697868998563769	0.700402042112368	0.705115563151452	0.676109113259285	0.674924743592603	0.662067651079928	0.782568228130707	0.77976968158552	0.781229763459208	0.782563290135723	0.716088810211615	0.693094550160345	0.694285160512209	0.705964229650704	0.772502514557592	0.773229821303879	0.760256646756107	0.731423212537898	0.787681876173326	0.773346243906292	0.788715700624473	0.785970510248336	0.671632305121316	0.658005705340058	0.650131640014452	0.701172415037263	0.697655201915742	0.69050493223243	0.689977696920425	0.705765225706042	0.705098865076505	0.699463357459018	0.705455365952915	0.653062886448408	0.70044697379672	0.706441906677838	0.695231461893672	0.671459524690943	0.670779124479682	0.670473058636632	0.651657264504558	0.670858210877833	0.728963166249168	0.791933879836725	0.772745498731197	0.77133947303828	0.695330392495103	0.719182168136092	0.701554374092594	0.70711493667485	0.738761064317407	0.777102376567322	0.746458713785915	0.785764590103078	0.775860119039261	0.787543159630519	0.68270146037586	0.781510830292756	0.726441488615989	0.745619090433404	0.716795775117777
7D_rep2...AshridgeEstate	0.651135056527378	0.571995255358571	0.620639879477197	0.624646879202515	0.722503347609459	0.710641771908342	0.720334898104576	0.717282194946082	0.665212371610429	0.627394242293393	0.632095928342668	0.609727995563479	0.714246769267733	0.678147874063854	0.684048416720676	0.670783029666414	0.664367047088956	0.656209869636902	0.663333183725467	0.666793974298342	0.673179998642025	0.638369769072639	0.634067570438658	0.6249884168269	0.775914203159353	0.774070482545307	0.776019526591435	0.778594662588154	0.690642333933909	0.65907657494095	0.660767109111148	0.67643808400829	0.768220136546904	0.769989692034328	0.752560087330483	0.714825280881755	0.785238624002175	0.767841530705231	0.785984404456011	0.78355676697366	0.632280748118669	0.61535018835697	0.602835723855848	0.672985050973148	0.665803906943305	0.657231866276151	0.656924583466176	0.680025655088136	0.673846420416114	0.667466217721861	0.678794226872786	0.611949146665676	0.672998029882726	0.680710631283413	0.666388878121197	0.630351498494509	0.632712975338016	0.629416967773059	0.604219350426809	0.629193566810844	0.705947902139846	0.782674468076596	0.753627585315488	0.755149473794583	0.659708799253138	0.691243830042359	0.669148870072728	0.673250799278088	0.715029590492355	0.761516292621589	0.725705311448017	0.77561340330256	0.762948476918496	0.778916443155659	0.642474594116417	0.768138849584733	0.700417230068786	0.721834592676085	0.689241293566883
7D_rep3...AshridgeEstate	0.664386860206488	0.620639879477197	0.581429162083028	0.643800773865276	0.729221195626542	0.716288659237234	0.720826024990855	0.723290021316405	0.678838901451662	0.647877274638502	0.646628611164495	0.631180127929506	0.724162746517409	0.691321769132837	0.691556501224076	0.686103654588054	0.678665038480452	0.670037215334404	0.675625715371277	0.679610621448462	0.683828717258629	0.659863827154261	0.646726725681096	0.644574985281831	0.77885898936736	0.777350851557536	0.776696590424249	0.781729823128996	0.701477012065609	0.671976707879015	0.667717866497408	0.689549135389528	0.770136214535281	0.766407142482872	0.746664446074999	0.724246295319929	0.788446457630441	0.773238601872691	0.788691282509979	0.787843160286677	0.653707519507056	0.63653609511293	0.622286593801881	0.686631455721332	0.676943431505182	0.669185024092932	0.667929470846587	0.688540574388258	0.683165091030053	0.685468257629303	0.698583061207773	0.630480898779218	0.685677929628484	0.692739637989288	0.67824195532524	0.644676157498117	0.651738555423908	0.647611876494987	0.621607597197467	0.648785403872663	0.700045494477065	0.782640887441832	0.758538208189594	0.754171850033676	0.667338814373319	0.695282733279094	0.67620633658185	0.676418774542913	0.714069275793333	0.756209995119579	0.726778512599932	0.762913009582428	0.770000307822443	0.76655846548997	0.651977588806745	0.76513821606644	0.703689478700368	0.723662840969142	0.697406669590714
7D_rep4...AshridgeEstate	0.665726640760183	0.624646879202515	0.643800773865276	0.598129407143121	0.730715077681022	0.721455203970059	0.731560173752641	0.725580143591585	0.675921536780811	0.64049593926265	0.647168540201305	0.625038714976003	0.72123013570491	0.689040076809351	0.696586526769425	0.677687116413899	0.673751026120866	0.667051473404107	0.673977991353337	0.675477942210682	0.687203236588444	0.653745282902905	0.653328006169023	0.637996785429483	0.781433554919322	0.779300845092272	0.782406654301963	0.782746411626197	0.701736848575351	0.675934505396582	0.675271874039548	0.685812358806596	0.771597354648436	0.777867779940556	0.764962624207918	0.72234283317335	0.789489293863771	0.77168071964329	0.790242831866219	0.786518375233949	0.645519691269009	0.634827158780239	0.621507323724503	0.682910044158219	0.678965436592188	0.672772724738725	0.672465933372257	0.692977602837319	0.684390962408685	0.679685554649957	0.689784042438661	0.634335141048643	0.681337341413825	0.691168902717279	0.679801923118244	0.646007174476605	0.645171506370143	0.645259863254444	0.622311194655392	0.642040708548962	0.723697850961256	0.787266744770503	0.758260165744257	0.76319937915333	0.680692789942331	0.702764201626312	0.688267508062989	0.687925312506642	0.729811293882629	0.772542194504237	0.743976606012352	0.787727238995581	0.762796400520197	0.791539764127059	0.658123976744534	0.778087690239426	0.711734882420164	0.729992481126808	0.699493444957495
7D_rep1...BurhamBeeches	0.742132726625789	0.722503347609459	0.729221195626542	0.730715077681022	0.707272288526166	0.726139375194122	0.735821700370872	0.731781464410142	0.735356503652993	0.723036405881524	0.722913238382036	0.721843309617828	0.727715892154662	0.713196009013151	0.718156758856115	0.71919721084829	0.707583096043794	0.707862884682767	0.712820993680015	0.714753206527262	0.737629133763584	0.725480838668376	0.720804004831022	0.736037954842706	0.743146546150465	0.739134588816433	0.742016072330338	0.741031415157357	0.74134531431279	0.725601061917485	0.729391635198804	0.739449508052838	0.748449427682636	0.753114084698379	0.751216374148376	0.737019389957676	0.754404302839134	0.737336273702046	0.755520493524706	0.753022051035299	0.726697123866252	0.722097422808112	0.716127169888014	0.736145265143507	0.73112397197452	0.727651631875026	0.723888662366721	0.733159902118089	0.731974801146962	0.731407443075624	0.738393879089776	0.70888585240281	0.728656620375905	0.729723910937249	0.72212978949572	0.721687894506313	0.73151464447383	0.723037621957967	0.719254797795681	0.726020918582852	0.764340652739461	0.786215762378616	0.788109478874139	0.789064330282174	0.73886492382085	0.744118811988187	0.747799990037523	0.730893307828106	0.755140749134411	0.763239613582528	0.770158291799257	0.787235141299225	0.77224629516269	0.776023813751992	0.7245989482052	0.780385896282775	0.754249846330279	0.763691000413496	0.75582760461767
7D_rep2...BurhamBeeches	0.734099919498987	0.710641771908342	0.716288659237234	0.721455203970059	0.726139375194122	0.696065364424982	0.727217138348005	0.723453995603749	0.728009758698552	0.714237447951941	0.714592152195824	0.712358593000623	0.726748186801882	0.710827033514954	0.713946813788308	0.714814738683829	0.702675604253669	0.700515622724057	0.706066656436185	0.708843402625076	0.730494164088842	0.718214364614325	0.712504308351739	0.728135105613688	0.749296282564375	0.741433665917423	0.744260373017783	0.744261508092645	0.736489670659526	0.718352795988517	0.722219085649573	0.732814086281275	0.751511823275866	0.752540307297415	0.746303119950185	0.736802287864523	0.763061918200803	0.740813421659743	0.760435739562704	0.757930064663679	0.718336886699896	0.713189827752175	0.70709544419995	0.731326801061886	0.724751258143212	0.720962949055291	0.718354758858108	0.727396158021687	0.724130215454656	0.722091384667631	0.730258942017461	0.701953531189925	0.724269994599327	0.725204687138009	0.717141404170291	0.714481684001861	0.723448476718203	0.714293388058487	0.710072120537124	0.717460944275555	0.75296539926953	0.780742019114346	0.781708860781234	0.781476629331342	0.729798982685062	0.736153392201341	0.739069250179599	0.722805286045301	0.747165588014939	0.753590096589384	0.764636278810625	0.776231557542947	0.768355011261772	0.764403433121978	0.716016321559971	0.773158579558406	0.748215241783951	0.755226140638293	0.749079229684195
7D_rep3...BurhamBeeches	0.740966039733968	0.720334898104576	0.720826024990855	0.731560173752641	0.735821700370872	0.727217138348005	0.708636690846054	0.733557197699639	0.736807318974459	0.725222231402695	0.72413047163424	0.723203867754716	0.737719904891363	0.722838945205302	0.723546462492697	0.727864533302158	0.712193233490564	0.71129511763545	0.714003721788469	0.71759586080961	0.738004472170405	0.730136448518215	0.721555451740101	0.736785424266035	0.756133915248234	0.751913079366073	0.7524918554826	0.75540765866149	0.746445565211314	0.728783374537746	0.730228606475493	0.742281404092421	0.760884511484031	0.758183707324478	0.75014933436764	0.744883104634017	0.767582208852733	0.751631042290241	0.765828544881178	0.765951987096418	0.727697087028375	0.722930296813436	0.717673495045091	0.73953535845185	0.731749223677259	0.727179046674178	0.7246922287284	0.734380898673242	0.727592186699006	0.727633837579889	0.73666661599578	0.71025665861495	0.734508716198127	0.733947874785939	0.726103886115905	0.722501507678563	0.732622674592785	0.724509340580285	0.720309612731068	0.72803065753605	0.752993640043757	0.785125644158312	0.785618922427672	0.783212430564056	0.736545375804495	0.740739701067137	0.74500732332969	0.727089715425053	0.749308875121032	0.755845243624931	0.770680692911663	0.774786711157469	0.779625685727679	0.763555248949309	0.721146876473919	0.773742217661742	0.751244346211139	0.760411236184906	0.75443814787921
7D_rep4...BurhamBeeches	0.739058595578835	0.717282194946082	0.723290021316405	0.725580143591585	0.731781464410142	0.723453995603749	0.733557197699639	0.706513136661835	0.732552139757377	0.719644598273826	0.719869321455736	0.717454842774497	0.731816863838772	0.716652900722213	0.719055528619025	0.71748808364235	0.706166762802437	0.705104432570637	0.710158358620428	0.711345337422182	0.736313068094524	0.723846420779399	0.719205468315195	0.732350100494053	0.755350592622825	0.747947811899963	0.75032378686919	0.749546687435669	0.739505593953069	0.723409062461968	0.726748734482879	0.73462549455539	0.756463137243872	0.758027520167093	0.753823010626148	0.741704975563101	0.76740194445764	0.746033701246989	0.765362421919676	0.761810025195096	0.722954542543843	0.718858974504138	0.712895479657967	0.73583785928076	0.729745644565402	0.726338434325039	0.724325201084838	0.733128189336986	0.731918590102559	0.730285690413028	0.736566876342822	0.709123926490154	0.728759051410066	0.72931122996482	0.722465827236428	0.719495158839253	0.727935107754598	0.720305485064555	0.715702869090932	0.722130861803611	0.760091934758531	0.785574091857877	0.785359979787242	0.786220700872884	0.737547302419175	0.743057753664888	0.746559805047201	0.728948975754542	0.754941935233084	0.76250769392072	0.771038151034657	0.783510749472505	0.773508924210763	0.774506075629653	0.722952862608949	0.77810446130678	0.753400595782755	0.760105788336856	0.753846868241534
7D_rep1...BeechWood	0.695869478666718	0.665212371610429	0.678838901451662	0.675921536780811	0.735356503652993	0.728009758698552	0.736807318974459	0.732552139757377	0.507496927898828	0.603469009341368	0.579534619285592	0.594993895658209	0.728251244709491	0.704045599153184	0.713702662232112	0.699054923879691	0.670067019160364	0.665369772294087	0.668588504199166	0.673228394436789	0.64898895846754	0.620057630669917	0.60821416969059	0.610184333999967	0.784784327474732	0.785457450475659	0.788273110114766	0.786354837478994	0.705143540315879	0.684681983442959	0.687564491520456	0.698634914539682	0.773392360407155	0.78954826846479	0.77009011580101	0.701764798286957	0.794183817787079	0.777458674855403	0.797002300238603	0.791577233934605	0.609988798179796	0.585885760519733	0.583270296048647	0.658813793530907	0.651439334377157	0.645032314164862	0.644077870693222	0.672315468404555	0.644840675032849	0.643355009145757	0.658127275715669	0.572258938813154	0.656779492774217	0.67586119828669	0.657243534314757	0.627763537327185	0.631556064330627	0.617425686098366	0.608747502422429	0.622226146329671	0.732948715812469	0.786418146140248	0.77282082246915	0.777344030502185	0.649505489884983	0.64560186662001	0.653761753042947	0.674898111201198	0.698058153942801	0.779727685265052	0.747795328433295	0.801141198644751	0.775751498453487	0.804848851990809	0.63812186519855	0.771123416521169	0.699617259572305	0.739446230854993	0.695233981102847
7D_rep2...BeechWood	0.669186994106827	0.627394242293393	0.647877274638502	0.64049593926265	0.723036405881524	0.714237447951941	0.725222231402695	0.719644598273826	0.603469009341368	0.412583473055805	0.56944142550872	0.524304504624413	0.713447271758133	0.685218290335454	0.691344818891292	0.673281792230895	0.647722599950967	0.64146598481412	0.646336726798673	0.649603396730555	0.60142292360855	0.545946880871656	0.558993727539847	0.542660105231211	0.774439547758771	0.775249766678147	0.777375804577903	0.776933291782323	0.683322727492839	0.655882857278435	0.656802911131669	0.669143189510957	0.760413394633138	0.779028335518581	0.755843548612262	0.673266588422377	0.78426352969013	0.765132354124462	0.78767976521792	0.781350560330109	0.552679868004373	0.513267967318762	0.523849163616783	0.615676256741542	0.619419241432364	0.602988455947328	0.605503376126899	0.642246993136516	0.597169189304137	0.580172139814064	0.59594417084778	0.514679125894375	0.633367548185304	0.647518880743142	0.627707339317183	0.572886543860835	0.570595920770464	0.562992031935662	0.546671425268075	0.565655211581269	0.711920829913501	0.781429549688386	0.7600437360431	0.76225484558311	0.612136614529385	0.650667433435085	0.610016092760568	0.655196113038212	0.684873396923392	0.770464254293421	0.731857121196921	0.793900115552955	0.759995124298761	0.79774134296636	0.600334348818851	0.770729933830832	0.677527666376964	0.722097468815941	0.664088641764075
