id.DminToC	id.DminToBdC3.1	id.DminToBdC3.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid3.1	WYM39.3	PH16.3	WYM39.3	C1	1
Centroid3.1	WYT09.3	WiW48.3	WYT09.3	C1	1
Centroid3.1	WYT09.3	PH16.3	WYT09.3	C1	1
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	none
Centroid3.1	WP02.3	SP01.3	WP02.3	C1	1
Centroid3.1	WiW11.3	CHE04.3	WiW11.3	C1	1
Centroid3.1	WYT09.3	WiW41.3	WYT09.3	C1	1
Centroid3.1	WYT28.3	SAC11.3	WYT28.3	C1	1
Centroid3.1	WYT09.3	WiW41.3	WYT09.3	C1	1
Centroid3.2	WYM39.3	BB05.3	WYM39.3	C1	1
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	1
Centroid3.1	OWW13.3	WP15.3	OWW13.3	C1	1
Centroid3.2	WYM39.3	BB02.3	BB02.3	C2	2
Centroid3.1	WYM39.3	BB05.3	WYM39.3	C1	1
Centroid3.1	LW07.3	CHE04.3	LW07.3	C1	none
Centroid3.1	WYM39.3	BB57.3	WYM39.3	C1	2
Centroid3.1	BB07.3	BB05.3	BB07.3	C1	1
Centroid3.1	BB09.3	BB10.3	BB09.3	C1	1
Centroid3.2	BB11.3	BB18.3	BB18.3	C2	2
Centroid3.1	BB11.3	BB10.3	BB11.3	C1	1
Centroid3.1	BB12.3	CHE04.3	BB12.3	C1	1
Centroid3.1	WYM39.3	BB05.3	WYM39.3	C1	1
Centroid3.1	BB14.3	BB16.3	BB14.3	C1	none
Centroid3.1	WiW31.3	BB05.3	WiW31.3	C1	1
Centroid3.1	WP01.3	BB16.3	BB16.3	C2	2
Centroid3.1	BB17.3	BB32.3	BB17.3	C1	1
Centroid3.1	WiW36.3	BB18.3	BB18.3	C2	2
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	1
Centroid3.1	SP09.3	CHE02.3	SP09.3	C1	none
Centroid3.1	WYT03.3	CHE11.3	WYT03.3	C1	none
Centroid3.2	WYM39.3	WP15.3	WYM39.3	C1	1
Centroid3.1	WYT95.3	BB23.3	BB23.3	C2	none
Centroid3.1	BB25.3	BB32.3	BB25.3	C1	1
Centroid3.1	LW09.3	BB26.3	BB26.3	C2	2
Centroid3.2	WYM39.3	WEL16.3	WYM39.3	C1	none
Centroid3.1	WYT95.3	BB32.3	WYT95.3	C1	1
Centroid3.1	SP08.3	BB100.3	SP08.3	C1	none
Centroid3.1	WiW55.3	BB10.3	BB10.3	C2	2
Centroid3.2	AE50.3	BB28.3	BB28.3	C2	none
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	1
Centroid3.2	WYM39.3	BB31.3	BB31.3	C2	2
Centroid3.2	AE50.3	BB30.3	BB30.3	C2	1
Centroid3.1	BB35.3	WiW41.3	BB35.3	C1	2
Centroid3.1	BWd01.3	CHE04.3	BWd01.3	C1	1
Centroid3.1	OWW12.3	BB32.3	OWW12.3	C1	none
Centroid3.1	BWd03.3	CHE12.3	BWd03.3	C1	1
Centroid3.1	BWd04.3	BB61.3	BWd04.3	C1	1
Centroid3.1	BWd05.3	CHE04.3	BWd05.3	C1	1
Centroid3.1	WiW28.3	BB16.3	WiW28.3	C1	1
Centroid3.1	LW01.3	CHE04.3	LW01.3	C1	1
Centroid3.1	LW03.3	BB32.3	LW03.3	C1	1
Centroid3.1	LW04.3	CHE04.3	LW04.3	C1	1
Centroid3.1	LW05.3	BB61.3	LW05.3	C1	1
Centroid3.1	LW06.3	BB32.3	LW06.3	C1	1
Centroid3.1	LW07.3	CHE04.3	LW07.3	C1	1
Centroid3.1	LW08.3	CHE04.3	LW08.3	C1	1
Centroid3.1	LW09.3	WiW42.3	LW09.3	C1	1
Centroid3.1	LW10.3	BB32.3	LW10.3	C1	1
Centroid3.1	WiW31.3	CHE12.3	WiW31.3	C1	1
Centroid3.1	LW12.3	BB16.3	LW12.3	C1	1
Centroid3.1	OWW01.3	BB32.3	OWW01.3	C1	1
Centroid3.1	OWW02.3	SAC06.3	OWW02.3	C1	1
Centroid3.1	OWW04.3	SP01.3	OWW04.3	C1	1
Centroid3.1	BWd02.3	SAC06.3	BWd02.3	C1	1
Centroid3.1	WiW28.3	WiW42.3	WiW28.3	C1	1
