sample	Centroid1.1	Centroid1.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC1.1	minDistToBdC1.1	meanDistToBdC1.1	diffDistToBdC1.1	diffDistRelToBdC1.1	id.DmaxToBdC1.1	id.DminToBdC1.1	maxDistToBdC1.2	minDistToBdC1.2	meanDistToBdC1.2	diffDistToBdC1.2	diffDistRelToBdC1.2	id.DmaxToBdC1.2	id.DminToBdC1.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class
AE05	0.749209310875351	0.769208457549362	0.769208457549362	0.749209310875351	0.759208884212357	0.0199991466740104	0.0263420872567351	Centroid1.2	Centroid1.1	0.820232435943794	0.672248741913047	0.775860427973638	0.147983694030748	0.190734942388086	WEL13.1	WYT09.1	0.822000915145044	0.728497738065094	0.784084658557816	0.0935031770799503	0.119251379375197	AE148.1	PH09.1	0.728497738065094	0.672248741913047	0.700373239989071	0.0562489961520474	0.0836728916620613	WYT09.1	PH09.1	C1	C2	4	1
AE101	0.6948812543801	0.731262565505366	0.731262565505366	0.6948812543801	0.713071909942733	0.0363813111252657	0.0510205361029962	Centroid1.2	Centroid1.1	0.815083103128222	0.669841116032184	0.74930148625554	0.145241987096038	0.193836512752498	BB88.1	BB06.1	0.817770987008269	0.690129910606366	0.757538851884389	0.127641076401903	0.168494429142999	PH07.1	BB29.1	0.690129910606366	0.669841116032184	0.679985513319275	0.0202887945741818	0.0302889656794477	BB06.1	BB29.1	C1	C2	4	1
AE103	0.745301412579082	0.787764784373762	0.787764784373762	0.745301412579082	0.766533098476422	0.0424633717946796	0.0553966578600203	Centroid1.2	Centroid1.1	0.82136241649096	0.73220411782386	0.774351597719659	0.0891582986671005	0.115139297096638	WEL11.1	WiW51.1	0.824238646370239	0.739573605188557	0.793154221294602	0.0846650411816817	0.106744740062645	PH07.1	CHE13.1	0.739573605188557	0.73220411782386	0.735888861506208	0.00736948736469711	0.0100647991254126	WiW51.1	CHE13.1	C1	C2	4	1
AE126	0.803185383378563	0.801407002280727	0.803185383378563	0.801407002280727	0.802296192829645	0.00177838109783635	0.00221661415538333	Centroid1.1	Centroid1.2	0.828545267807893	0.733582373718425	0.811271052283343	0.0949628940894675	0.117054458953259	WYC41.1	WYT09.1	0.828010621995243	0.763371401443088	0.810263292436348	0.064639220552155	0.0797755756129516	PH07.1	PH09.1	0.763371401443088	0.733582373718425	0.748476887580757	0.0297890277246623	0.0406076110766756	WYT09.1	PH09.1	C1	C2	2	none
AE155	0.731517142946998	0.792328996009509	0.792328996009509	0.731517142946998	0.761923069478254	0.060811853062511	0.079813639327332	Centroid1.2	Centroid1.1	0.82516292221762	0.587252287363789	0.757129718927381	0.237910634853831	0.314227045784012	WEL12.1	AE103.1	0.822435413045277	0.66286635597415	0.787309355342211	0.159569057071127	0.202676439684588	AE148.1	WP13.1	0.66286635597415	0.587252287363789	0.625059321668969	0.0756140686103609	0.128759087426968	AE103.1	WP13.1	C1	C2	4	1
AE172	0.740044725621305	0.79271622940518	0.79271622940518	0.740044725621305	0.766380477513242	0.0526715037838752	0.0687276168030586	Centroid1.2	Centroid1.1	0.825157224454857	0.734669384876923	0.7740226862309	0.090487839577934	0.116905926903208	WEL15.1	WiW11.1	0.823492662907193	0.761671584326671	0.803340822282258	0.0618210785805224	0.0769549820770857	WEL23.1	WiW18.1	0.761671584326671	0.734669384876923	0.748170484601797	0.0270021994497474	0.0367542189801076	WiW11.1	WiW18.1	C1	C2	4	1
AE22	0.801698041996202	0.811224739105062	0.811224739105062	0.801698041996202	0.806461390550632	0.00952669710886	0.0118129611913044	Centroid1.2	Centroid1.1	0.828303878893434	0.795144264491636	0.809774832057784	0.0331596144017977	0.0409491788199111	WEL12.1	WYM39.1	0.827419835142718	0.791638588832892	0.815980741088166	0.0357812463098268	0.0438506015008517	AE148.1	SAC07.1	0.795144264491636	0.791638588832892	0.793391426662264	0.00350567565874438	0.00442837894488289	SAC07.1	WYM39.1	C2	C1	4	1
AE23	0.770404231286465	0.798816878545644	0.798816878545644	0.770404231286465	0.784610554916054	0.0284126472591784	0.0362124203927109	Centroid1.2	Centroid1.1	0.824011151346892	0.750200832592425	0.788217230649235	0.073810318754467	0.0936421025631109	WEL15.1	WYT56.1	0.823225837241475	0.773942426293769	0.802999751928	0.0492834109477061	0.0613741297296503	AE148.1	CHE13.1	0.773942426293769	0.750200832592425	0.762071629443097	0.0237415937013444	0.0316469839406896	WYT56.1	CHE13.1	C1	C2	4	1
AE26	0.776190933769125	0.801786832710144	0.801786832710144	0.776190933769125	0.788988883239634	0.0255958989410185	0.0324413936428613	Centroid1.2	Centroid1.1	0.82515824364801	0.752675305807077	0.79223912612293	0.0724829378409337	0.0914912372425377	WEL14.1	WYM39.1	0.826078786356695	0.76964175178385	0.804985282604135	0.0564370345728455	0.0701093992554388	AE148.1	CHE13.1	0.76964175178385	0.752675305807077	0.761158528795463	0.016966445976773	0.0225415206874367	WYM39.1	CHE13.1	C1	C2	4	1
AE27	0.78293532456212	0.766131331549349	0.78293532456212	0.766131331549349	0.774533328055734	0.0168039930127705	0.0216956358158952	Centroid1.1	Centroid1.2	0.822072295662016	0.652186801885374	0.796829437245731	0.169885493776641	0.213201829445278	BB88.1	BB06.1	0.825423166148623	0.722737678067845	0.788801708181413	0.102685488080777	0.130179089390563	AE148.1	PH09.1	0.722737678067845	0.652186801885374	0.68746223997661	0.0705508761824712	0.108175872278493	BB06.1	PH09.1	C1	C2	4	1
