sample	Centroid4.1	Centroid4.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC4.1	minDistToBdC4.1	meanDistToBdC4.1	diffDistToBdC4.1	diffDistRelToBdC4.1	id.DmaxToBdC4.1	id.DminToBdC4.1	maxDistToBdC4.2	minDistToBdC4.2	meanDistToBdC4.2	diffDistToBdC4.2	diffDistRelToBdC4.2	id.DmaxToBdC4.2	id.DminToBdC4.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class	Converge
AE05	0.748673759607276	0.782652669948827	0.782652669948827	0.748673759607276	0.765663214778051	0.0339789103415503	0.0443784025217929	Centroid4.2	Centroid4.1	0.808796311036353	0.647856212205224	0.772083871881362	0.160940098831129	0.208448984226236	WYC15.4	WYT41.4	0.824938464289696	0.683808010723337	0.787997208756595	0.141130453566359	0.179100194769792	WEL02.4	BB06.4	0.683808010723337	0.647856212205224	0.665832111464281	0.0359517985181134	0.0554934842651856	WYT41.4	BB06.4	C1	C2	4	1	1
AE101	0.702717778006732	0.748799533100786	0.748799533100786	0.702717778006732	0.725758655553759	0.0460817550940538	0.0634945993980507	Centroid4.2	Centroid4.1	0.802031868528985	0.649789167399838	0.743801473747967	0.152242701129147	0.204681903037924	BB63.4	WYT41.4	0.817497915738124	0.670244995551599	0.763339612343749	0.147252920186525	0.192906168899583	WEL02.4	BB06.4	0.670244995551599	0.649789167399838	0.660017081475718	0.0204558281517602	0.0314807158660633	WYT41.4	BB06.4	C1	C2	4	1	1
AE103	0.747648402201653	0.798054084793429	0.798054084793429	0.747648402201653	0.772851243497541	0.050405682591776	0.0652204198619969	Centroid4.2	Centroid4.1	0.813712540033679	0.712129752199337	0.770033239312817	0.101582787834343	0.13192000377152	BB63.4	WYT41.4	0.822081752366157	0.759596230736618	0.796849613522589	0.0624855216295392	0.0784157017449164	WEL02.4	BB06.4	0.759596230736618	0.712129752199337	0.735862991467977	0.047466478537281	0.0666542556194091	WYT41.4	BB06.4	C1	C2	4	1	1
AE126	0.801571807437391	0.809577980945766	0.809577980945766	0.801571807437391	0.805574894191579	0.00800617350837474	0.00993845955987643	Centroid4.2	Centroid4.1	0.820415359932057	0.719847138675586	0.808274191525953	0.100568221256471	0.124423397791048	LW06.4	WYT41.4	0.825298790987994	0.729554362369441	0.81037909271623	0.0957444286185531	0.118147703314552	PH01.4	BB06.4	0.729554362369441	0.719847138675586	0.724700750522514	0.00970722369385524	0.0134851181206542	WYT41.4	BB06.4	C1	C2	2	none	0
AE155	0.718796665889934	0.798922069120934	0.798922069120934	0.718796665889934	0.758859367505434	0.080125403231	0.105586629963326	Centroid4.2	Centroid4.1	0.815021589815685	0.545039145847514	0.747376766666554	0.269982443968171	0.361240081321159	BB14.4	WiW13.4	0.826349160297973	0.642930383776024	0.788694105044271	0.183418776521949	0.232560095668083	WEL02.4	WiW14.4	0.642930383776024	0.545039145847514	0.593984764811769	0.0978912379285103	0.179604049863782	WiW13.4	WiW14.4	C1	C2	4	1	1
AE172	0.742421305009539	0.802873252043195	0.802873252043195	0.742421305009539	0.772647278526367	0.0604519470336561	0.078240031012538	Centroid4.2	Centroid4.1	0.808822620409453	0.728517366579248	0.769881566439939	0.0803052538302049	0.104308581125731	BB63.4	WiW43.4	0.824910844833757	0.762810385235456	0.807143886766364	0.0621004595983015	0.0769385243653305	WEL23.4	BB57.4	0.762810385235456	0.728517366579248	0.745663875907352	0.0342930186562074	0.0470723420324627	WiW43.4	BB57.4	C1	C2	4	1	1
AE22	0.801476737749505	0.814927603301128	0.814927603301128	0.801476737749505	0.808202170525316	0.0134508655516236	0.0166429465821414	Centroid4.2	Centroid4.1	0.821092314552949	0.790134544765443	0.807912946599589	0.030957769787506	0.0383181998974068	AE198.4	WYT41.4	0.829266966575443	0.803488832222214	0.81750640283168	0.0257781343532285	0.0315326390887437	WEL02.4	BB06.4	0.803488832222214	0.790134544765443	0.796811688493829	0.0133542874567708	0.0169012828830755	WYT41.4	BB06.4	C1	C2	4	1	1
AE23	0.770836534179939	0.804580698701636	0.804580698701636	0.770836534179939	0.787708616440787	0.033744164521697	0.0428383844195687	Centroid4.2	Centroid4.1	0.813426523632631	0.743010028695416	0.784280641485611	0.0704164949372146	0.0897848183576599	BB63.4	WYT24.4	0.827483397274974	0.782755921387306	0.806134278696139	0.044727475887668	0.055483902706645	WEL02.4	AE116.4	0.782755921387306	0.743010028695416	0.762882975041361	0.0397458926918894	0.0534930770203407	WYT24.4	AE116.4	C1	C2	4	1	1
AE26	0.777254413998281	0.809370746718301	0.809370746718301	0.777254413998281	0.793312580358291	0.0321163327200199	0.0404838313612963	Centroid4.2	Centroid4.1	0.815784834264131	0.739997866491719	0.789738753094396	0.0757869677724123	0.0959646053526686	BB23.4	WYT41.4	0.828324153284616	0.76396392196491	0.808079750598943	0.0643602313197063	0.0796458904854414	WEL02.4	BB06.4	0.76396392196491	0.739997866491719	0.751980894228314	0.0239660554731914	0.0323866548248482	WYT41.4	BB06.4	C1	C2	4	1	1
AE27	0.781477383461997	0.780384524363181	0.781477383461997	0.780384524363181	0.780930953912589	0.00109285909881596	0.00139943114476454	Centroid4.1	Centroid4.2	0.819539758595335	0.621097287813292	0.794443137847239	0.198442470782043	0.249788136278422	AE198.4	WYM39.4	0.825175260852563	0.642883084241478	0.790190926876843	0.182292176611084	0.230693836654867	PH07.4	BB06.4	0.642883084241478	0.621097287813292	0.631990186027385	0.0217857964281862	0.0350763026270616	WYM39.4	BB06.4	C1	C2	4	1	1
