P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_mix	5%_mix	95%_mix	sig_mix	high_class	prop_sig	prop_sig_class
ASV_1	0.0329979987600701	0.0218461931894406	0.0459790364493976	1	-0.0419650397133851	-0.0822479323320067	-0.00665595305333702	-1	0.0135799129029686	-0.00747540017359927	0.0328523725573866	0	class1	FALSE	none
ASV_2	0.401548522111735	0.35250401413689	0.452342817782569	1	-0.612631704899233	-0.799016980372413	-0.454026674722595	-1	0.0537172825059877	-0.0313921155714469	0.134903563347528	0	class1	TRUE	class1
ASV_3	0.189104059090686	0.157357360778105	0.222879123468417	1	-0.257404362918311	-0.358373565882601	-0.164052060923688	-1	0.0504737278654082	-0.00251348789551489	0.0970542487057809	0	class1	TRUE	class1
ASV_4	0.482573581262137	0.383197679870702	0.579208250294354	1	0.425715242443195	0.270254051937734	0.563179849589223	1	0.596161539974397	0.477707625916396	0.702424706190605	1	classmix	FALSE	none
ASV_5	0.141235134427907	0.116028790121256	0.168740479531981	1	-0.0819084168863027	-0.151158418888101	-0.0162991586209158	-1	-0.0212837950698681	-0.0747598549216545	0.027542453921999	0	class1	TRUE	class1
ASV_6	0.484241803969354	0.422990929916714	0.549765831523564	1	-1.12746625699929	-1.44921241323993	-0.884286958171071	-1	0.312072618639418	0.229444061612771	0.391662353749748	1	class1	TRUE	class1
ASV_7	0.142745250258169	0.114675578839132	0.172901487257899	1	-0.0010637251245933	-0.0603545515833925	0.0559962466645312	0	-0.0491548329915275	-0.107122089329115	0.00565645643282461	0	class1	TRUE	class1
ASV_8	0.214166764481274	0.168575266225682	0.260259236621875	1	0.127155387491644	0.0539398691267655	0.197081528420665	1	0.0403329928327292	-0.0285722367309122	0.11121740922109	0	class1	FALSE	none
ASV_9	0.457714480304646	0.407813374037667	0.505030840269199	1	-1.17076182553288	-1.4483805291618	-0.939629014002642	-1	0.110172019929186	0.023012662866507	0.195314130973905	1	class1	TRUE	class1
ASV_10	0.470845900560639	0.411810394722098	0.532334946326811	1	-1.03077147037477	-1.31690885514945	-0.796331611253105	-1	0.232332851915328	0.148528274952321	0.313251230399111	1	class1	TRUE	class1
ASV_11	0.684941906577512	0.615295771870944	0.752806912259197	1	-1.78524657073647	-2.32352050401675	-1.41517572942948	-1	0.0600015834425742	-0.072788459584366	0.172077347459225	0	class1	TRUE	class1
ASV_13	0.735724290767915	0.579692898954471	0.897957119007438	1	1.61161595052186	1.46471910662619	1.76393029608162	1	0.883888436365135	0.685053249760722	1.06264882174191	1	class2	TRUE	class2
ASV_14	0.330357635621359	0.287529446613726	0.37566507847219	1	-0.413433277757341	-0.559907715269485	-0.275515346534221	-1	0.0455205153018094	-0.0298113401800706	0.115889257040265	0	class1	TRUE	class1
ASV_15	0.509498054994918	0.450402702962106	0.563206105752698	1	-0.729666377590851	-0.955778883930746	-0.528090761142569	-1	0.0144663577019617	-0.101225220450531	0.113136883720048	0	class1	TRUE	class1
ASV_16	0.264103053555957	0.227505114108378	0.301322768746062	1	-0.327654901123282	-0.449058023390151	-0.219219786015152	-1	0.0373766374063922	-0.0319697471988716	0.0981530610793777	0	class1	TRUE	class1
ASV_17	0.274687845219008	0.180918363046365	0.36722376638364	1	0.652215603003035	0.554238402367964	0.748393905117831	1	0.609151898570586	0.524743558240829	0.701857496606026	1	class2	FALSE	none
ASV_18	0.121130162797786	0.0953368872929848	0.144946325276396	1	0.0079029436772633	-0.0434120989334974	0.0565397166521058	0	-0.0597172439977158	-0.116722940014682	-0.0101280968804439	-1	class1	TRUE	class1
ASV_19	0.148421034591614	0.120681029859204	0.176692671315789	1	-0.0701667001867354	-0.143772096607656	-0.00302739734910706	-1	-0.0232097170989645	-0.075411457816334	0.0261042314270328	0	class1	TRUE	class1
ASV_20	2.14876504633231	1.88398298430904	2.42597939648966	1	-0.048459531003914	-1.37432633493081	0.60928849535723	0	1.6632572305506	1.25385347220692	2.01650798878499	1	class1	FALSE	none
ASV_21	0.797093750035475	0.709923411720451	0.888172036790612	1	-1.41417318442378	-1.92810198957261	-1.07105918450606	-1	0.35423892080728	0.218369316192571	0.481656697619592	1	class1	TRUE	class1
ASV_22	0.266175600020859	0.22439131569159	0.308477776163506	1	-0.256582083191407	-0.383933633710977	-0.143710321739323	-1	0.0688403172432206	0.00309215987751991	0.130377462987308	1	class1	TRUE	class1
ASV_23	0.0246082809376201	-0.00370400427056672	0.0525765226388212	0	0.0968531878109491	0.075970226370111	0.117956501113869	1	0.0735058238139576	0.047123174815619	0.0985987488385038	1	class2	FALSE	none
ASV_24	0.516794957114536	0.464552483122453	0.571386151649183	1	-1.40740265001015	-1.71869194334276	-1.13235167258519	-1	0.0787638201995915	-0.0204041162961436	0.166055186321339	0	class1	TRUE	class1
ASV_25	0.505781548348726	0.442957167316782	0.57116738079272	1	-0.120226329373591	-0.271090990285318	0.0259124922358201	0	0.0084857768149833	-0.110517524283766	0.117318937153146	0	class1	TRUE	class1
ASV_26	0.303813756871231	0.261888496485808	0.345293268797183	1	-0.116559434325219	-0.22157470869786	-0.0159363392983536	-1	-0.0644303688902723	-0.151585026116629	0.00937522230584711	0	class1	TRUE	class1
ASV_27	0.652440568339196	0.512879474197248	0.787482943940847	1	0.837901845137819	0.662207467123432	1.00495881711791	1	1.02154878317284	0.881655386119431	1.15652836070162	1	classmix	FALSE	none
ASV_28	0.0454722888302898	0.00620819441264177	0.0858911648135304	1	0.157876901993915	0.124428016111526	0.191079576152885	1	0.139455328426552	0.103863320428351	0.177211291792146	1	class2	FALSE	none
ASV_29	0.0109554149055442	-0.00290317239737726	0.0266911652884481	0	0.0237335085242856	0.00709166652841997	0.0385509870566545	1	0.0176990074534329	0.00227055258817122	0.0345395171662364	1	class2	FALSE	none
ASV_30	0.0702877891169086	0.0245216551665751	0.116154544882302	1	0.202854897276992	0.161210221823265	0.243578349802507	1	0.163405586568709	0.112402457932553	0.20807961840411	1	class2	FALSE	none
ASV_31	0.932417068073924	0.833702213872298	1.03919190213061	1	-1.80915582506693	-2.56821824518354	-1.38247912960546	-1	0.444158218920333	0.287095872161515	0.587993641420514	1	class1	TRUE	class1
ASV_32	0.100478943449389	0.0487870636989925	0.152711501595257	1	0.30114963891154	0.255099296314512	0.347126883276947	1	0.219677338428409	0.167842305014181	0.274169673519736	1	class2	FALSE	none
ASV_33	1.53958590597708	1.24457380138115	1.84380531398522	1	2.4070864736818	2.09575153031609	2.69097865494004	1	1.9774862898384	1.64537832575042	2.28446675186887	1	class2	FALSE	none
ASV_34	0.718109442150562	0.641052301301277	0.796037936844702	1	-1.0411407485122	-1.39546527111458	-0.789386679642222	-1	0.0402297337214055	-0.104471411354113	0.164097088669755	0	class1	TRUE	class1
ASV_35	0.352924730239107	0.302094716864763	0.407621908362484	1	0.126825719733315	0.0362381585002757	0.214101801493429	1	-0.0768309439073984	-0.18189866463129	0.0178895217687915	0	class1	TRUE	class1
ASV_36	2.11013203480943	1.85003681197205	2.34905960359937	1	-0.93439040291399	-1.75323339079326	0	0	1.37203346638722	0.984187075499461	1.70581643585843	1	class1	TRUE	class1
ASV_37	0.631169460099969	0.556148959246377	0.703772462079082	1	-0.377475493174311	-0.585354849546802	-0.199413922367847	-1	0.033469080698479	-0.102200803249975	0.158562725593601	0	class1	TRUE	class1
ASV_38	0.238344598362144	0.184460312842017	0.290143402020693	1	0.0592494290237127	-0.0420487805842498	0.146275268738543	0	0.208629728149229	0.137217198595376	0.270138194524022	1	class1	FALSE	none
ASV_39	0.0467746544177554	0.0105101618736493	0.0814359035214309	1	0.107432119653193	0.0721597259914356	0.143767222753863	1	0.11584483254152	0.0788742434907252	0.151259031342137	1	classmix	FALSE	none
ASV_40	1.72415915441519	1.53851290227098	1.90044175707093	1	-0.958106929531306	-1.9280625630899	-0.318157546791548	-1	0.200224593838425	-0.203127721793166	0.550321552901139	0	class1	TRUE	class1
ASV_41	0.834533518474534	0.745775470851184	0.930453758686791	1	-1.50376965712159	-2.07726369279468	-1.13289820928323	-1	0.351047948073601	0.19849015190297	0.478347754167985	1	class1	TRUE	class1
ASV_42	0.14408421507157	0.0731450548754036	0.216082093694839	1	0.451727030085889	0.381301499408327	0.524480478665617	1	0.462183399120268	0.396224250189907	0.530322568188777	1	classmix	FALSE	none
ASV_43	1.34897825391683	1.21122335575742	1.49151959535062	1	-1.85708861265879	-3.19977825510484	-1.13930162555621	-1	0.280712544206626	0.0314509358864876	0.524053388912119	1	class1	TRUE	class1
ASV_44	0.0899032022672618	0.051963375300959	0.128069094487532	1	0.0808533667473439	0.0269182645318871	0.133943897229911	1	0.135122996681402	0.0946331636966096	0.175688366132085	1	classmix	FALSE	none
ASV_45	0.732636381635729	0.646866842015744	0.82160699946617	1	0.00544335966606635	-0.196167032328285	0.183931848683094	0	0.176715080273436	0.0169883998684509	0.312063224774215	1	class1	TRUE	class1
ASV_46	1.43133007599388	1.28959098872292	1.57098600557975	1	-3.17474878793042	-3.2577887983668	0	0	-0.0459660065892622	-0.379820467181016	0.261200383059527	0	class1	TRUE	class1
ASV_47	1.53623887949685	1.2781328553969	1.77812408257424	1	2.13364100309841	1.84910743815973	2.38679802910109	1	1.43643702184285	1.10512028447514	1.72325220674421	1	class2	TRUE	class2
ASV_48	1.081438734631	0.951490143849409	1.20555444457526	1	0.579912414013284	0.349143565234988	0.793999672678603	1	0.409547068046461	0.179569393310948	0.608569047945519	1	class1	TRUE	class1
ASV_49	0.360200632399876	0.295769251974008	0.426778574772326	1	0.138599101437482	0.0322105180950406	0.249107119416924	1	0.153481291344279	0.0597178834194856	0.241315156776684	1	class1	TRUE	class1
ASV_50	0.0722871344908066	0.032021893729599	0.112467379903983	1	0.155391408615628	0.113608510563348	0.19613698117705	1	0.143171297280852	0.101120291857002	0.183857111671248	1	class2	FALSE	none
