P_obs_class1	5%_class1	95%_class1	sig_class1	P_obs_class2	5%_class2	95%_class2	sig_class2	P_obs_classmix	5%_classmix	95%_classmix	sig_classmix	high_class	prop_sig	prop_sig_class
ASV_1	0.0366982773363932	0.0145986049632232	0.0665495777697445	1	-0.0322945941505584	-0.10640256630428	0.036572022680585	0	0.00544573383228886	-0.0433444303371433	0.0441194361294643	0	class1	FALSE	none
ASV_2	0.606865997104037	0.459395564268789	0.756990570124213	1	-0.180618600537611	-0.561262704565455	0.130826969913723	0	0.052430479766002	-0.226627683181601	0.290382003629997	0	class1	TRUE	class1
ASV_3	0.110848916626585	0.0543117267889967	0.175913044336425	1	-0.0603545515833925	-0.197739280596575	0.0569009846539124	0	0.0385401995527852	-0.0445341984727319	0.119122911347249	0	class1	FALSE	none
ASV_4	0.139257969569043	0.0659084125905676	0.218121271331319	1	0.145772650590237	0.0489801822217188	0.241475472499774	1	-0.00837802923702169	-0.136423041109644	0.108979864763902	0	class2	FALSE	none
ASV_5	0.165065853524916	0.0934876378217451	0.241492689982406	1	-0.0655364430769703	-0.243513208073619	0.0809474501083623	0	0.0657299429167002	-0.0405926683802704	0.175056588640975	0	class1	FALSE	none
ASV_6	0.0799602717716382	0.0330846471346533	0.130992033280199	1	-0.0132816549686277	-0.118642170626454	0.0744236978573098	0	0.0244586730142193	-0.0522272843484232	0.0963946172770606	0	class1	FALSE	none
ASV_7	0.520127293349696	0.386701762994885	0.657896481941115	1	-0.184910633731771	-0.560474922905493	0.0894899958320741	0	0.0864445454325811	-0.148294982463448	0.31050975843264	0	class1	TRUE	class1
ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	none	FALSE	none
ASV_9	0.681037111743433	0.475491729301557	0.893522216880702	1	0.737813627545516	0.470562859966255	0.991919043786586	1	0.256760162113195	-0.072085602211096	0.553630935734874	0	class2	FALSE	none
ASV_10	0.756372584076438	0.56959680046842	0.937362211305573	1	-0.158518567443294	-0.66887142322211	0.222898956868122	0	0.241011805145056	-0.0651482884794918	0.526078990914062	0	class1	TRUE	class1
ASV_11	0.755651408639093	0.590572638120166	0.942123355058025	1	-0.399200598351893	-0.94588238140407	-0.000264427845792614	-1	0.131016214728748	-0.157036077558231	0.406311613232956	0	class1	TRUE	class1
ASV_13	0.762470685212415	0.387138768217954	1.14999850989931	1	1.86108297388052	1.50913858916948	2.2471582049282	1	1.37557515809882	0.938359904409428	1.76498407485132	1	class2	FALSE	none
ASV_14	0.372640344858597	0.256702416068025	0.492760159449976	1	-0.0187400233678281	-0.278538296300414	0.205114572468807	0	0.139628292403634	-0.0301090800815598	0.309671804936328	0	class1	FALSE	none
ASV_15	0.763433549081148	0.587463420961183	0.94053959266954	1	-0.717654329470428	-1.4228135581508	-0.267751694114146	-1	0.202475178710893	-0.0887821685914615	0.473023839357051	0	class1	TRUE	class1
ASV_16	0.195422745107759	0.106032321940723	0.281876024978607	1	0.101677335936785	-0.0463600794999301	0.229809541551728	0	0.0548602758915691	-0.0843190506954534	0.190329492823586	0	class1	FALSE	none
ASV_17	0.249495642845208	0.131764230881371	0.363275573749158	1	0.335097008522572	0.20373118495731	0.464552069754965	1	0.015000277386509	-0.162716519364819	0.184181919360385	0	class2	FALSE	none
ASV_18	0.221914360554735	0.13868610851558	0.314063944226651	1	0.0461074847819742	-0.109900812726905	0.188106134516403	0	0.0148549412778698	-0.136759817516227	0.160498609056128	0	class1	FALSE	none
ASV_19	0.433864582629862	0.298441041853302	0.56973535747726	1	0.182550154348956	-0.0610398502819273	0.40729214908736	0	0.120207023774821	-0.103722040239347	0.326306896810096	0	class1	FALSE	none
ASV_20	4.04815517975273	2.83175985542823	5.65759309218683	1	0	0	0	0	0	0	0	0	class1	TRUE	class1
ASV_21	1.91082874399758	1.47336113805065	2.37854523659387	1	-0.551088387565726	-0.828989098662004	0.551647618286246	0	1.383771925303	0.699393979269578	1.95636079607118	1	class1	FALSE	none
ASV_22	0.471893919602901	0.316868939698215	0.632286215754743	1	0.153440188484366	-0.155632462200911	0.398223666608736	0	0.321233644715411	0.106918727316849	0.522394875350572	1	class1	FALSE	none
ASV_23	1.0802859487779	0.770747141677695	1.43200365166993	1	1.20949768025791	0.761487427477483	1.63267471002813	1	0.895840121402864	0.413433554183537	1.29026862168299	1	class2	FALSE	none
ASV_24	2.18382501768984	1.62528173985445	2.75924474903603	1	1.99503094639026	1.09834786082232	2.70414920143582	1	0.374543197769578	-0.554170054103134	1.33475316357857	0	class1	FALSE	none
ASV_25	0.366554056945281	0.241293713517598	0.497155181744335	1	0.28714727934087	0.0998807801154076	0.482792749339479	1	0.111794391863009	-0.0892306514914016	0.302696895447937	0	class1	FALSE	none
ASV_26	0.534714245314057	0.376423233775097	0.707661585542678	1	0.198806820907802	-0.107367790402807	0.473085295783144	0	0.30650573749756	0.0719852274354372	0.514069519909438	1	class1	FALSE	none
ASV_27	0.434903878869056	0.240965324373101	0.63024252700127	1	0.486728946733642	0.209822927540817	0.748375299351353	1	0.65180869709309	0.447073284242721	0.854254168524859	1	classmix	FALSE	none
ASV_28	3.84521433575604	2.31770730560536	5.7221316133244	1	0	0	0	0	3.86048180788682	0	5.67286056431761	0	classmix	FALSE	none
ASV_29	0.35361302559026	0.162934856591531	0.540793876701159	1	0.616804078033745	0.409121578243265	0.834078392235927	1	0.602719338152006	0.414747828103667	0.792547531904933	1	class2	FALSE	none
ASV_30	2.94124408826992	1.68103156562111	4.33583725220451	1	3.72970144863419	0	5.2296551282266	0	3.36197666850887	1.39272823732507	4.77677253976098	1	class2	FALSE	none
ASV_31	1.05138178169032	0.812719377279688	1.3130720464297	1	-0.267773276591937	-1.04257109329824	0.241852270430808	0	0.463114231950855	0.0813490012749833	0.812276141360822	1	class1	TRUE	class1
ASV_32	1.00882698479575	0.679545285754316	1.34015481617756	1	1.26356490152818	0.877397285160752	1.63267471002813	1	1.04244359559474	0.641600881238097	1.40869411109746	1	class2	FALSE	none
ASV_33	1.00244297389371	0.479597180416348	1.52201155748156	1	2.30172595802398	1.83565850236629	2.81411935030806	1	1.82864066224083	1.31868515526297	2.330997875918	1	class2	FALSE	none
ASV_34	0.917480250259525	0.701703768024728	1.1476246186378	1	0.13732169270995	-0.370320264629188	0.509698403216736	0	0.249169992846519	-0.122082761240608	0.57194338510957	0	class1	TRUE	class1
ASV_35	1.69147487035956	1.27555462179269	2.11889262779282	1	1.22005179445959	0.439113214765234	1.78888097145263	1	0.852327014334276	0.0345825391969501	1.45802371664202	1	class1	FALSE	none
ASV_36	3.67905771581544	2.43021227864474	5.10902714043799	1	0	0	0	0	3.35785295132501	0	4.93889138923741	0	class1	FALSE	none
ASV_37	0.90994725795198	0.655015086994613	1.17571775581759	1	0.692882752714153	0.309607071011686	1.02807244553389	1	0.57028043062182	0.203750993594281	0.900310612360126	1	class1	FALSE	none
ASV_38	0.894592369413076	0.666023476112562	1.13716413465383	1	0.0591711331884517	-0.485555450410218	0.467824930956635	0	0.625755590439968	0.310817506889033	0.919751253323141	1	class1	FALSE	none
ASV_39	2.94954289108462	1.69084518706943	4.18350495458579	1	3.15021358654677	0	4.54035599972346	0	3.47563598698139	2.08501776392371	4.77677253976098	1	classmix	FALSE	none
ASV_40	1.36020139909968	1.06853036353025	1.65947962052997	1	0.356899290235893	-0.397166305293469	0.847502238896914	0	0.106957545766959	-0.600970732406967	0.573225980072388	0	class1	TRUE	class1
ASV_41	1.13127584573668	0.893476455895311	1.38610780863149	1	-0.000859134970070397	-0.698751282914241	0.507846827695571	0	0.385187887280992	-0.0527722974941123	0.767501614337534	0	class1	TRUE	class1
ASV_42	0.625697317079618	0.379824393866177	0.879914970853105	1	1.14222096196025	0.880001736490497	1.41194887755838	1	0.676056109021676	0.324563265464558	0.968860049810315	1	class2	FALSE	none
ASV_43	0.448902459994403	0.312173906835402	0.589514845462925	1	0.108442182195235	-0.150954800573062	0.336405856285455	0	0.120207023774821	-0.100161414633735	0.314758446794773	0	class1	FALSE	none
ASV_44	6.12759672143256	0	Inf	0	0	0	0	0	0	0	0	0	class1	FALSE	none
ASV_45	0.563770433737562	0.41551613074756	0.719489726742042	1	-0.0366946894243274	-0.417556994941203	0.248815026799766	0	0.234660489740025	-0.000953960008880192	0.451119697466628	0	class1	FALSE	none
ASV_46	1.54131345309847	1.2167127119591	1.92070441888653	1	0.0997564133035298	-1.18125048084552	0.764797961914738	0	0.830643921846322	0.234660489740025	1.34249274859279	1	class1	FALSE	none
ASV_47	1.10354752385484	0.689315804142765	1.49542572872	1	1.78379129957888	1.36207491186739	2.1852753439523	1	1.20475742578635	0.682427977538878	1.67557771493865	1	class2	FALSE	none
ASV_48	1.60349435853325	1.23872143456298	1.95362427296935	1	0.178197839610093	-0.966562678417239	0.885857702108465	0	0.72676379135893	0.0495527037995351	1.25919684470055	1	class1	FALSE	none
ASV_49	2.46243379393594	1.76107427329465	3.2372249635364	1	2.08774034449453	0	3.13045195330534	0	2.41316274492916	1.39272823732507	3.305736950186	1	class1	FALSE	none
ASV_50	3.34258547919422	1.94809435087015	4.74130236031267	1	3.72557773145033	0	5.30661616936273	0	3.35785295132501	0	4.86577840015809	0	class2	FALSE	none
ASV_51	1.53020672276343	1.15421128754286	1.99243016469021	1	1.33783483011598	0.626932379214991	1.94508967349776	1	1.4119428022697	0.849840390546901	1.96682148992085	1	class1	FALSE	none
ASV_52	1.64798975841982	1.08989881401611	2.27499713647522	1	2.14876504633231	1.38511520609327	2.8323769231513	1	2.14876504633231	1.48090576475408	2.83873362652485	1	classmix	FALSE	none
ASV_53	1.11200640350676	0.896092300136867	1.36422794130433	1	-0.134241883967415	-0.875200106234469	0.367587301712374	0	0.0576491238426904	-0.478245211470336	0.463332580024754	0	class1	TRUE	class1
ASV_54	0.78917598586067	0.440208056552037	1.13531262366001	1	1.52884318205551	1.17967815703369	1.8391655974932	1	1.00696772210293	0.620898140145659	1.37376274255965	1	class2	FALSE	none
ASV_55	2.29375149706844	1.69468992566749	2.96991019390905	1	1.47277094499861	0	2.37542241694631	0	1.79819334543324	0.830643921846322	2.5800243537668	1	class1	FALSE	none
ASV_56	0.535216169953627	0.338592211628636	0.724247015539727	1	0.640576685611453	0.397795266694163	0.85352821567991	1	0.398015048440142	0.140378631824572	0.636165112766962	1	class2	FALSE	none
ASV_57	3.84521433575604	2.23577642332194	5.5402084650129	1	3.5350594074522	0	5.30661616936273	0	3.16733462732688	0	4.97971338375767	0	class1	FALSE	none
ASV_59	1.35252749864907	1.01352433454434	1.76112718569838	1	0.860051013551279	0.161999017934074	1.3872230989324	1	1.12831500014596	0.638508743604043	1.5943414895691	1	class1	FALSE	none
ASV_60	0.829181320474369	0.503737230752251	1.18348262122374	1	1.28768112523862	0.884984280096491	1.65580997180373	1	1.16111840193019	0.824579816572113	1.50607914574521	1	class2	FALSE	none
ASV_61	0.918831419226068	0.696698552367792	1.18489341535819	1	0.192161546627479	-0.346902512553535	0.641256055634233	0	0.597626654735643	0.245466155494436	0.936583933213501	1	class1	FALSE	none
ASV_62	2.14876504633231	1.62575955919046	2.73879042797058	1	0.644687649556031	-0.230403087415367	1.59133824139426	0	1.52972583792608	0.63536698271849	2.27048084670123	1	class1	FALSE	none
ASV_63	4.62351932465629	0	7.61430568064383	0	0	0	0	0	4.86193034810129	0	7.75230210599745	0	classmix	FALSE	none
ASV_64	1.08049174755491	0.784127419280018	1.38542893484346	1	0.944690206395853	0.453564819975149	1.33997872399471	1	0.913437662891749	0.504359738775944	1.30098973622317	1	class1	FALSE	none
ASV_65	4.62351932465629	0	7.73703463386666	0	0	0	0	0	4.86193034810129	0	7.75230210599745	0	classmix	FALSE	none
ASV_66	1.30518270625745	0.873946150314597	1.72313478254188	1	1.85069388801133	1.3835484457235	2.30851625660544	1	1.41843058674844	0.848293024453606	1.88171362976981	1	class2	FALSE	none
ASV_67	4.04815517975273	0	6.82074390199251	0	0	0	0	0	4.97971338375767	0	7.75230210599745	0	classmix	FALSE	none
ASV_68	6.12759672143256	0	Inf	0	0	0	0	0	0	0	0	0	class1	FALSE	none
ASV_69	1.76054654094824	1.30730255660861	2.25450356237263	1	1.05834952486837	-0.0282006316955528	1.76516731272816	0	1.56609348209696	0.949833323414618	2.08604872828384	1	class1	FALSE	none
ASV_70	3.14736863441454	2.21557371600442	4.16166064780134	1	1.88170226108326	0	3.27080860811929	0	2.20712466151789	0	3.47563598698139	0	class1	FALSE	none
ASV_71	2.79093786090798	1.73727128394399	3.82501162843852	1	0	0	0	0	3.5889646722884	2.57954796242476	4.65120931678563	1	classmix	FALSE	none
ASV_72	1.89853099845035	1.47310767258848	2.31737011063403	1	-0.000859134970070619	-0.860964582917056	0.881242730185484	0	0.88417905339998	0.036840335750911	1.5032182618062	1	class1	FALSE	none
ASV_73	3.93037214409634	2.21557371600442	5.83991464898078	1	0	0	0	0	4.16878316754134	0	6.24822470922118	0	classmix	FALSE	none
ASV_74	1.62501312421957	0.94683967302344	2.27315374664782	1	2.4542924791041	1.69560301902331	3.13463152142711	1	2.26888925577273	1.57546583141619	2.9636800834866	1	class2	FALSE	none
ASV_75	1.33950991763921	0.999104372421401	1.72125939355764	1	0.916026304028362	0.28550349300668	1.43118352562293	1	1.01830515314878	0.436258961683312	1.48139644582649	1	class1	FALSE	none
ASV_76	2.52345849577372	1.68932354163688	3.41443141966358	1	2.03098201067592	0	3.15021358654677	0	2.91602019904597	2.01183233582292	3.86121603547097	1	classmix	FALSE	none
ASV_78	1.12284074567247	0.826962257229666	1.46756028958301	1	0.926630076717848	0.433864582629862	1.37169934406873	1	1.08499839248931	0.676704592661774	1.47177712646757	1	class1	FALSE	none
ASV_79	2.43767614281021	1.79686338114623	3.15244515557859	1	1.25205247715248	0	2.25450356237263	0	1.80061842890131	0.641605983018623	2.72245853826293	1	class1	FALSE	none
ASV_80	1.23884861820858	0.870071596354215	1.60962301649426	1	1.17289065041678	0.621018734262026	1.65797755087113	1	1.31599149405745	0.856450731518138	1.74021827168673	1	classmix	FALSE	none
ASV_81	1.08870637882796	0.815162544727053	1.36368499264869	1	0.752234142206746	0.28296990101498	1.14107765104674	1	0.509672505035434	0.036663292947416	0.920218086103006	1	class1	FALSE	none
