ntree.test	OOB.mean	OOB.std
100	0.00109809463586505	0.000468788621207789
250	0.000475700011654196	0.000162763800967154
500	0.00023217730562344	8.40737851356517e-05
1000	0.00011301218822592	4.13554711635687e-05
1500	8.11213178654676e-05	2.98520442174436e-05
2000	5.01624838347423e-05	1.89826637047014e-05
2500	4.49868251961631e-05	1.82207302234757e-05
3000	4.0197411177774e-05	1.81610821153869e-05
3500	3.53708115852026e-05	1.1414349333041e-05
4000	3.67030149210579e-05	1.27936421041657e-05
4500	2.76928994304842e-05	8.86235527358033e-06
5000	2.52290381239262e-05	1.01473704317703e-05
5500	2.16901471488867e-05	7.87456828858891e-06
6000	1.9567618866517e-05	7.58866816987998e-06
6500	1.78327786158641e-05	6.22571196423545e-06
7000	1.68287497900991e-05	5.38628033842394e-06
7500	1.48644304114905e-05	5.3832561364814e-06
8000	1.60212931239689e-05	7.12226094726991e-06
8500	1.46176679968038e-05	5.19379839258785e-06
9000	1.25056386497238e-05	5.0867177718951e-06
9500	1.22164087853443e-05	4.89108031649886e-06
10000	1.1819913958071e-05	3.59859062707376e-06
12000	8.78668472421987e-06	3.19589168876237e-06
14000	8.84997811576694e-06	3.2323662979854e-06
16000	7.92499152439151e-06	2.93368433249411e-06
18000	6.46299060661973e-06	2.54800391565197e-06
20000	6.00666751758036e-06	2.27292636400755e-06
