EC	Final.Rep1.Class1	Final.Rep1.Class2	Final.Rep2.Class1	Final.Rep2.Class2	Final.Rep3.Class1	Final.Rep3.Class2	Final.Rep4.Class1	Final.Rep4.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
1.1.1.1	0.00302753962623578	0.0031137110221108	0.00310063213663093	0.00309383125453744	0.00300050665887048	0.00297969431548738	0.00302729448017301	0.00312018497125924	0.00298074046956346	0.0028411607244621	0.0027671673331907	0.00297684210140216	0.00313305496044127
1.1.1.10	3.7064766705254e-08	0	1.07027011028071e-07	0	1.83066196565881e-07	0	4.28115849067051e-08	0	4.86152613522264e-09	0	0	6.04809649840013e-08	0
1.1.1.100	0.00489401020457456	0.00592291618793488	0.00494123690638947	0.00600136561278724	0.00476007560832718	0.00592386200247704	0.004834809028156	0.00595188116369918	0.00484266470760903	0.00552990843641834	0.00556354232680742	0.00470567302365841	0.00736981611822464
1.1.1.102	6.32164355698498e-10	6.86986539040733e-08	2.86567696916489e-08	1.92286916288393e-07	0	6.86664674242881e-09	3.41164459969429e-09	0	1.84841712386536e-09	1.63822488338656e-08	1.07514863539725e-07	1.22817725781679e-08	0
1.1.1.103	0.000436945312859104	0.000226477068036922	0.00044843003237313	0.000243275445322924	0.000455661575367843	0.000210427963457259	0.00045616408760133	0.000234086246446539	0.000424268398774561	0.000318166655452347	0.000269654257926138	0.000413767874568827	0.000117366518985202
1.1.1.105	1.09486817764945e-08	0	1.61469823666303e-08	7.63974617582521e-08	5.84512170429289e-08	9.53696896493225e-08	7.50601335198751e-09	3.12377478654153e-08	1.61003626960672e-09	0	3.45505290001817e-07	3.58198208436473e-09	0
1.1.1.107	3.12406626024467e-08	0	3.86870496686846e-08	0	2.08741132858933e-09	1.44954946499452e-08	2.11972370183001e-09	0	1.0189380947089e-08	7.6860931580049e-09	0	1.0070810754262e-08	0
1.1.1.108	0.000287454109790349	0.000117215363995322	0.000294718632034904	0.000128808303255315	0.000310426478911296	0.000114659589624228	0.000278660939867779	0.000112384474080672	0.000321113694944063	0.000253389942991756	0.000183152740904636	0.000315817433155378	0.000118460278888539
1.1.1.11	1.6112299213745e-05	4.6601166694265e-05	6.80206514507111e-06	3.71527549259161e-05	5.09864007596908e-06	4.30002945195401e-05	9.44142113412796e-06	3.0767318466627e-05	1.40278901857848e-05	2.20968907015836e-05	8.69902437108805e-05	2.105292164579e-05	5.5162250994583e-06
1.1.1.122	0.000192954404798548	0.00024760498486043	0.000204581664187474	0.000252964444469547	0.000145952761029618	0.000178354264438114	0.000194967718064266	0.000262276569568578	0.000111435436143057	0.000239664851207217	0.000261618327313639	0.000145808252568152	0.00011269841656857
1.1.1.125	0.000649112671441581	0.000363822319788599	0.000671069284027677	0.000427200611892642	0.000683122546399724	0.000437103585948348	0.000672727173281005	0.000410893386221416	0.00061078787202815	0.000585883548112888	0.000365465420102577	0.000623728683545845	0.000756724108153958
1.1.1.130	1.77030575469835e-05	9.86742327083898e-06	1.47032513015046e-05	1.03092666810385e-05	1.14675040012684e-05	1.30009144450729e-05	1.48772761919707e-05	1.03931520076503e-05	9.78180444306677e-06	7.87451246675039e-06	1.57044221925356e-05	1.35443816883649e-05	1.03665250648289e-06
1.1.1.132	0.000226528422338947	6.05325017958043e-05	0.000223113219776674	5.67999010539395e-05	0.00025943305319987	6.41170869724358e-05	0.000214688829220489	4.49383594628189e-05	0.000298306057851487	0.000203921585622899	0.000166151395034644	0.000279991471350632	0.000117006031458138
1.1.1.133	0.000883085459192815	0.00110119761410522	0.000870532431833216	0.00111127514210092	0.000839129386167686	0.00115271262126858	0.00085227588191205	0.0010910858553153	0.000935178062607944	0.00112055494066175	0.00121548721436579	0.000964450785267049	0.0016424345063862
1.1.1.136	7.86887010637572e-05	0.000141416911811572	9.33557971956048e-05	0.000170034068553199	5.97814739244824e-05	0.000171292988678553	7.81946995314773e-05	0.000163836959215216	5.77333141492778e-05	0.000218583004784741	9.39978252997038e-05	7.2939731737578e-05	0.000614095051822553
1.1.1.137	5.61382522046226e-08	2.84985475935988e-06	6.86786329971085e-08	1.28189717234081e-06	3.10885412898605e-08	5.51661815585018e-07	5.99932089303317e-08	9.54191811872167e-07	3.38650942828383e-07	9.61572245321625e-07	4.96972058814476e-07	3.06965352036487e-07	1.92512932952711e-07
1.1.1.14	7.06522932087034e-05	0.000118481404295348	7.22449385959883e-05	0.000111749229145807	5.28578350255274e-05	8.84220202649385e-05	7.51885437065122e-05	9.37613499701454e-05	3.70176301364973e-05	4.20279794646612e-05	6.19816045739552e-05	4.73899780442381e-05	3.54602224481296e-05
1.1.1.140	0.000171171119951835	3.34125089262968e-05	0.000177500216527163	4.59344042596594e-05	0.000201185446031857	4.9915282901326e-05	0.000179659542897399	4.29515831828696e-05	0.00011449818719013	9.82199635000272e-05	4.4405947995853e-05	0.000204388693948513	3.83565680699422e-05
1.1.1.145	9.98164391389582e-08	1.34558450265021e-06	4.4198548324905e-07	2.09090251833175e-06	5.35329753187924e-08	1.76304724588685e-06	3.82384107645488e-07	1.97804688474088e-06	2.63770848189328e-07	2.0131041582122e-07	2.06395917568849e-06	2.00974228090051e-07	1.32565158683088e-07
1.1.1.157	0.000745950033118255	0.0011796667142612	0.000728259902101118	0.00119074285166968	0.000698100136621188	0.00117360128266276	0.000721155896149783	0.00120774359963359	0.000714395651196386	0.000911393644531083	0.00110598754123923	0.000830146003733788	0.00184359568708192
1.1.1.159	2.8110340279711e-06	1.20771099837205e-05	2.84415856297268e-06	1.68834534316968e-05	2.38914230354346e-06	8.18673806199678e-06	3.99561254564094e-06	1.35585504446499e-05	3.50095906752012e-06	1.95879043754533e-06	1.17603818234026e-05	9.10515200171592e-06	1.1801218257882e-06
1.1.1.169	0.00111734213306413	0.00139615479056712	0.00114691076108605	0.00138583519877277	0.00112846539896638	0.00142573568651524	0.00110235451749769	0.00135866516676131	0.001162885904532	0.00148872899343068	0.00123761501102653	0.00117412762289332	0.00117304434186369
1.1.1.17	0.000316008468557731	0.000201363654223562	0.000336318956304666	0.000216053313708805	0.000361023631496772	0.000279525353009068	0.000339741677089025	0.000185920620066194	0.000372654167127249	0.000335371681426653	0.000184778385677538	0.00030455799975299	0.000668700854146154
1.1.1.173	1.2562588932148e-05	2.25756948777946e-05	1.08572918696661e-05	3.56373431606228e-05	8.84796846881499e-06	2.43426850883198e-05	1.51698566891748e-05	3.52125631361468e-05	2.75389263898562e-05	4.45703142189459e-05	4.4569055553986e-05	1.44256432518347e-05	1.39133601907953e-05
1.1.1.18	0.000373035999628013	0.000401250632614643	0.000381667815418928	0.000407726142483382	0.00038734817179494	0.000413566963548665	0.000373287042315698	0.000368477611617581	0.000444429131152185	0.000544102241044569	0.00048510081052035	0.000317762139515919	0.000821287947600191
