Final.Rep1.Class1	Final.Rep1.Class2	Final.Rep2.Class1	Final.Rep2.Class2	Final.Rep3.Class1	Final.Rep3.Class2	Final.Rep4.Class1	Final.Rep4.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
ABC transporters	-0.402963367836288	0.137152728714889	0.445265144770178	0.0596509740063268	-0.124421663934267	-0.172858314366652	-0.0868174739306534	-0.103274440008004	-1.16258017333196	0.520006315794162	-1.44055049163869	-0.43720048994791	2.76859125170887
Amino sugar and nucleotide sugar metabolism	-0.279928449320002	-0.683840030791178	-0.245557246972666	-0.571401913040348	-0.337825307293559	0.108423859896753	-0.15831967330713	-0.744345711005946	-0.209315040086533	0.873268970445412	-0.0251283015465233	-0.729790468223489	3.0037593112452
Bacterial motility proteins	-0.86510625904054	1.50436427271147	-0.885376793551787	1.26706870740269	-0.369592863093138	0.411618274366287	-0.789685383639575	1.47351581242506	0.450408733683964	-0.803813783238901	-0.490700198763675	0.548909294826932	-1.4516098140888
Bacterial secretion system	0.562362732567457	-0.133421490021563	0.477640611457851	-0.155148742682272	0.778091251014031	-0.424080878851609	0.607502377339428	-0.0545776755718309	1.49175738210057	-0.429202319904958	-0.0233442814367729	0.101703694542417	-2.79928266055274
Chaperones and folding catalysts	0.637317641358387	0.0375895574497997	0.44473610116197	0.0171552525294781	0.720881245318522	-0.17518853379642	0.62477141586244	0.179416365643045	0.746827060590901	-0.907981397298224	-0.125061664648781	0.71671623440558	-2.9171792785767
Galactose metabolism	-0.450536777990293	-0.276947754611465	-0.392193934684546	-0.247285659213481	-0.60533229431258	0.224124539042019	-0.421575807862853	-0.363410181800806	-0.703994258927158	0.710282134829736	0.0964183478275095	-0.63084370684234	3.06129535454626
Germination	-0.862828162894023	0.0262123970771707	-0.775238160225337	0.181957401606365	-0.883090101653808	0.600124045228737	-0.866312592852845	-0.0138229975933305	-0.600370226518594	1.09511186317544	0.237698850231033	-0.710300262208199	2.57085794662739
Glyoxylate and dicarboxylate metabolism	-0.0625146286493481	1.168569409416	-0.136365940093509	1.05916672310666	-0.286366739790405	0.341670008577587	-0.177663257979323	1.24420689188392	-0.56269511535448	-0.693495190207273	0.432687503789281	0.253975443403634	-2.58117510810273
Lipopolysaccharide biosynthesis	0.67145079196428	-0.185140733288718	0.600183097722451	-0.187883173582928	0.89313650049038	-0.424405872069078	0.679946986016918	-0.0932377358327484	0.908018572442704	-0.765603784310489	-0.24211046476932	0.873092816857264	-2.72744700164071
Membrane and intracellular structural molecules	0.843067800412497	-0.576827769586121	0.802294289539707	-0.502516377861232	1.02106935429013	-0.682811653770404	0.89232431689177	-0.486758958388151	0.800938311188142	-0.36586442875859	-0.238135456121729	0.912601979355936	-2.41938140719195
Oxidative phosphorylation	-0.286503798987486	1.26739331775754	-0.435749460955908	1.15025947613506	-0.677572413398188	0.866617383171539	-0.351985238841327	1.5034670681392	-0.458180543274961	-0.834154098871122	0.73381120418037	-0.650809241395887	-1.82659365365881
Protein folding and associated processing	0.64467840771269	-0.0459376660772279	0.606991684551537	-0.147059942792088	0.760083831769536	-0.396348530530242	0.658431616010752	0.020166049168194	0.597225449525859	-0.524621853748633	0.0508791152380827	0.747162639202364	-2.97165080003083
Protein kinases	-0.509238614114382	-0.723099345447631	-0.439236734780887	-0.637411555044345	-0.20166607713411	-0.0921736601634989	-0.486670406935883	-0.926281162670222	0.235570042278778	1.05370363549572	-0.111616555765944	-0.0419093670187077	2.88002980130111
Secretion system	0.576482344964627	-0.297622169840813	0.502681588926488	-0.417315510222971	0.964390860745274	-0.620415332793386	0.62242156328073	-0.363280592190241	1.4011050329131	-0.500056296953733	-0.0363306391840457	0.73096787805607	-2.5630287277011
Sporulation	-0.678107502333325	-0.0190543764393968	-0.634828932626	0.096093625812892	-0.709090809110901	0.380594591933901	-0.691057080322118	-0.0326253603212102	-0.522950721913349	0.334070356211885	0.00607002688290939	-0.576120114739489	3.0470062969642
Starch and sucrose metabolism	-0.22468380961816	-0.749162469817432	-0.0901430516503189	-0.638559486941862	-0.320576825792498	0.211647191913095	-0.130210484474767	-0.808284808600358	-0.742847468565272	1.64381986325496	-0.229131837890102	-0.492070136705993	2.5702033248887
Transcription factors	0.408724451864287	-1.42274425158345	0.570474999607816	-1.24899063921293	0.784356946634716	-0.823762651125112	0.49117048893047	-1.49945537987739	0.609726983310651	0.786277079119919	-0.80931802402741	0.780082786495467	1.37345720986296
Transporters	-0.227875839777299	-0.413215268663415	0.239104781138125	-0.426749910422435	-0.0941256213222975	-0.202999929476582	-0.0828911107148985	-0.637575193264399	-0.864715290275825	0.659413095989505	-0.83343481142303	-0.144229158581569	3.02929425679413
Two-component system	0.221780032588578	-1.32913863171988	0.294138164225728	-1.20294691716003	0.854997765137686	-0.920271204054039	0.270046129031733	-1.45624622362534	1.19035962808489	0.807114026688217	-0.803965826617307	1.11874642239815	0.955386635021616
Valine, leucine and isoleucine degradation	-0.377996208930976	1.34396776765207	-0.618196852521488	1.22916817838506	-0.818216422195667	0.46196806907574	-0.614529506734974	1.43000850672155	-0.63488169703434	-0.277737926821752	1.13075072885332	-0.601495938542373	-1.65280869790617
